id,name_generated,is_scanned,description,ring_system,radius,mass,habitable_zone,name_known,celestial_body,atmosphere,satellite_of,category,temperature,orbital_period,rotation,orbiter_count,atm_pressure,gs_size,gs_size_scale,gs_size_halo,gs_fill_opacity,gs_rotation,gs_color,gs_color_halo,the_geom,distance,surface_gravity
5423,CS3,t,Military research outpost,f,1,100000,,Elysium 1,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000634E2F24376A4841E50924E605C651C1,,
1911,P-OC55-EL79,t,"Large water covered planet with a single vast land mass. Temperate climate. Fertile, rich in minerals. Contains indigeneous animal lifeforms. Very suitable for colonisation.",f,6052,5478158000000000000000000,Located in the habitable zone,Ellarion,planet,"Nitrogen, Oxygen, Carbon dioxide",SA-5102W,Ocean planet,292,305.3,43.8,2,1,0.55,1.2,2,0.4,0,#2152ff,2152ff,0101000020110F0000973F8A542E2B4B4136107E443E7E52C1,9.44,1
5427,CS7,t,"Shipyard, orbital trading station",f,2,1000000,,Enoch 1,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000E4A592D2172D4B41E4E356AD9F7A52C1,,
1910,P-IR07-AI47,t,"Large rock world, with an unusually thin atmosphere of carbon dioxide and nitrogen. The frigid world's crust contains extensive deposits of uranium, and occasional lodes of naturally occurring plutonium and araknium.",f,2357,406232000000000060000000,Not located in the habitable zone,Aion,planet,"Carbon dioxide, Nitrogen",SA-5102W,Iron planet,577,407.2,96.3,1,51.98,0.35,1.2,1.3,0.5,0,#5a6265,5a6265,0101000020110F0000973F8A5439CA4A4136107E04E78C52C1,11.23,0.49
269,SA-1201M,t,,t,1308480,3659760000000000200000000000000,4 AU,Ermina,star,No,,Class A,8678,,60,4,,0.74,1.2,1.2,0.7,0,#E6E6F7,E6E6F7,0101000020110F000009E118F1BA7941412C1293A790F04DC1,0,14.27
1389,SO-7469D,t,,f,9312480,57203640000000009000000000000000,637 AU,Fiera,star,No,,Class O,53352,,87.4,3,,2,1.11,1,0.7,0,#666EFF,666EFF,0101000020110F00005C8FC27547B044413D0AD7C3F37951C1,0,4.4
1296,SK-7473E,t,,f,556800,1531529999999999900000000000000,1 AU,Vermilo,star,No,,Class K,4655,,63,6,,0.55,1.69,2,0.7,0,#FFF464,FFF464,0101000020110F0000B81E850BA7D94841A4703D72A60961C1,0,32.97
2420,P-TE66-HP85,t,Moderately sized terrestrial world. Its surface is mainly composed of chlorides with deposits of solid and liquid form hydrocarbons.,f,3886,8483079999999999400000000,Not located in the habitable zone,Urwas,planet,"Nitrogen, Oxygen, Carbon dioxide",SK-7473E,Terrestrial planet,529,286.7,16.9,1,1.04,0.55,1.2,1,0.7,0,#00a599,00a599,0101000020110F0000B81E858B5CCF4841A4703D32B70A61C1,1.53,3.75
2421,P-PU65-TH72,t,Standard puffy planet composed of hydrogen and helium.,f,63127,10663876751999999000000000000,Not located in the habitable zone,Jopca,planet,"Hydrogen, Helium, Methane",SK-7473E,Puffy planet,3103,34.3,83.6,0,3917.04,1.1,1.2,1.6,0.6,0,#a494cc,a494cc,0101000020110F0000B81E850BEAA64841A4703D72E91161C1,8.3,17.86
2422,P-GG37-LN39,t,"A standard natrium-oxygen, silicon monoxide gas giant.",f,100200,861492618000000060000000000,Not located in the habitable zone,Warpec,planet,"Natrium, Oxygen, Silicon monoxide",SK-7473E,Gas giant planet,98,120.2,70.4,0,4261.34,1.1,1.2,1.5,0.4,0,#d67e57,d67e57,0101000020110F0000B81E850B170F4941A4703D12490661C1,7.55,0.57
161,AC-BA572,t,,f,810,314922407626347710,Not located in the habitable zone,Owlfori,asteroid,No,,C-type,77,,96.5,0,0,0.4,1.3,1.9,0.6,0,#9f9f9f,9f9f9f,0101000020110F0000295C8FE2CD6E4F4152B81EA59FA65AC1,,0
5160,M96-WY63,t,"A large moon, Dexwyn retains a trace atmosphere of carbon dioxide, but its desolate surface holds no signs of water or life.",f,842,98360000000000002000000,Not located in the habitable zone,Dexwyn,natural satellite,"Carbon dioxide, Nitrogen",P-IC72-IQ65,Moon,569,0.08,29.2,1,0.02,0.28,1.29,1.3,0.7,0,#928d8d,928d8d,0101000020110F000009E118F1DF6741412C1293A7CDF14DC1,1.13,0.93
4709,M17-FK35,t,Good source of helium-3.,f,2686,52780000000000005000000,Not located in the habitable zone,Niri,natural satellite,"Carbon dioxide, Nitrogen, Argon",P-TE66-HP85,Moon,357,0.13,47.5,1,0.12,0.6,1.21,1.7,0.5,0,#ba3a02,ba3a02,0101000020110F0000B81E850B0DDB4841A4703D12440C61C1,1.81,0.05
5401,A3,t,,f,0,2000,,A3,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000071416E1D82344B4140FB654BF3CA51C1,,
5402,A1,t,,f,0,2000,,A1,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000023E394D9BFF74A41C7C174619F8752C1,,
5405,A5,t,,f,0,2000,,A5,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000F227A641D3874A417CC256596B8C52C1,,
5403,A2,t,,f,0,2000,,A2,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000008233B6CDA74A41CB0F00600E5652C1,,
5400,A6,t,,f,0,2000,,A6,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000F9F64CF60E7E4B41B1BAA0B2A75752C1,,
5406,A8,t,,f,0,2000,,A8,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F00002B5D4B5C5FAE4941CB0F00600E5652C1,,
4407,M25-CA22,t,"Large, fertile, lake covered moon. Warm, varied, volatile climate. Abundant indigeneous flora and fauna. Suitable for colonisation.",f,1082,144510000000000000000000,Located in the habitable zone,Caelena,natural satellite,"Nitroge, Oxygen, Natrium, Hydrogen",P-OC55-EL79,Moon,299,0.03,11,2,0.01,0.32,1.11,1,0.5,0,#9f9f9f,9f9f9f,0101000020110F0000973F8A54FB2F4B4136107E04B97F52C1,0.77,0.82
5407,A9,t,,f,0,2000,,A9,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000095B3FF7D93F74B41B1CBD0EFC6CA52C1,,
5404,A4,t,,f,0,2000,,A4,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000B8F2002747614B41B5195CEE359952C1,,
5408,CS39,t,Science outpost,f,1,100000,,Solaris 7,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000B0671A6788374C41CF4C5B215EB151C1,,
5409,CS17,t,Military starbase,f,2,1000000,,Atlantis 3,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000B2122A35ECF74941C42F296EB3EC50C1,,
5410,CS19,t,Deserted military research outpost,f,1,100000,,Elysium 6,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000CEE8A4981F1E4B41FCB9BEBADB5252C1,,
4406,M48-AR55,t,Rich in Araknium. Araknium is used for military purposes. ,f,673,109360000000000000000000,Not located in the habitable zone,Arak,natural satellite,"Hydrogen, Helium",P-IR07-AI47,Moon,589,0.23,84,1,0.13,0.25,1.17,1.4,0.6,0,#9f9f9f,9f9f9f,0101000020110F0000973F8AD4D4C34A4136107EC42B8752C1,1.8,1.61
4408,M27-OS14,t,"Barren, rocky ice moon. Very high mineral consentration. Very scarce indigenous flora and fauna. Suitable for exploitation, not colonisation.",f,665,88940000000000000000000,Located in the habitable zone,Osiris,natural satellite,"Nitrogen, Oxygen, Helium, Sulfur",P-OC55-EL79,Moon,268,0.12,43.8,2,0.01,0.53,1.22,1.4,0.7,0,#B9BAB,B9BAB,0101000020110F0000973F8A541B1C4B4136107E44687C52C1,2.13,1.34
5425,BH-1008,f,,f,0,0,,,black hole,,,,,,,,,1,1,1,1,1,,,0101000020110F0000607124B93D97F6406EF152CC60DD4BC1,,
5,CP-UU597,f,,f,14,912113641934523,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,P-comet,55,,26.5,0,0,0.5,1.31,1.1,0.4,329,#B9BAB,comet1,0101000020110F00003D0AD70359425041AE47E11687FC71C1,,0
6,CP-GB291,f,,f,20,836917697464544,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,P-comet,76,,64.1,0,0,0.5,1.66,1.9,0.4,297,#B9BAB,comet1,0101000020110F0000F6285CCF34503CC1CDCCCC2C4EAE6C41,,0
7,CP-XN211,f,,f,6,503403378307542,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,P-comet,87,,77.3,0,0,0.6,1.11,1.7,0.7,159,#B9BAB,comet1,0101000020110F0000666666CA831272C1000000A047F94941,,0
226,SM-1829D,f,,t,153120,318240000000000020000000000000,0 AU,,star,No,,Class M,2923,,40,8,,0.46,1.49,1.7,0.6,0,#FA6642,FA6642,0101000020110F0000713D0AABA2CF72C1AE47E1FA81633241,0,90.59
8,CX-KY475,f,,f,6,598628695681053,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,X-comet,89,,1.2,0,0,0.8,1.55,1,0.4,43,#d6d6d6,comet3,0101000020110F000085EB5188F1BF514148E17A7005107341,,0
9,CX-ZJ716,f,,f,15,135853607261485,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,71,,30.2,0,0,0.7,1.6,1.2,0.6,283,#9f9f9f,comet3,0101000020110F000048E17A1C94596A411F85EB11661B3E41,,0
10,CP-GZ389,f,,f,17,19765953454080,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,P-comet,77,,18.6,0,0,0.6,1.46,1.5,0.6,250,#B9BAB,comet1,0101000020110F00005C8FC29D2D6B6EC1EC51B8AEFA315CC1,,0
227,SA-6884Z,f,,t,1990560,5270849999999999900000000000000,6 AU,,star,No,,Class A,11319,,7,3,,0.9,1.79,1.2,0.7,0,#CBCDFE,CBCDFE,0101000020110F00005C8FC21540475CC1713D0AB702A46A41,0,8.88
12,CD-FR535,f,,f,10,461430545240375,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,D-comet,73,,83.2,0,0,0.9,1.31,1.9,0.6,92,#989898,comet5,0101000020110F00009A9999B941204D419A999919074C3FC1,,0
13,CX-YG520,f,,f,5,120364095908759,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,72,,73,0,0,0.4,1.25,2,0.6,138,#d6d6d6,comet3,0101000020110F00000AD7A300D70D56415C8FC2F527742EC1,,0
228,SG-2359T,f,,t,668160,1790100000000000000000000000000,1 AU,,star,No,,Class G,5689,,22.1,6,,0.58,1.49,1.1,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000AE47E1AA8F9B5AC18FC2F5985DD65241,0,26.76
229,SA-2973V,f,,t,1148400,4455360000000000600000000000000,3 AU,,star,No,,Class A,8728,,71.6,3,,0.7,1.42,1.5,0.5,0,#E6E6F7,E6E6F7,0101000020110F000085EB5108148B67C1C3F528F0C6077041,0,22.55
231,SA-2429A,f,,t,1642560,4972500000000000300000000000000,8 AU,,star,No,,Class A,10969,,93.7,6,,0.82,1.5,1,0.6,0,#CBCDFE,CBCDFE,0101000020110F00000AD7A3CC62C67241713D0AF7A1164641,0,12.3
1257,SA-1253W,f,,f,1308480,4475250000000000000000000000000,3 AU,,star,No,,Class A,8333,,25.5,3,,0.74,1.66,1.6,0.7,0,#E6E6F7,E6E6F7,0101000020110F0000F6285C67824072410000000057D732C1,0,17.45
14,CC-AS838,f,,f,5,527846037935394,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,C-comet,79,,2,0,0,0.4,1.59,1.7,0.5,106,#6b6b6b,comet2,0101000020110F000014AE4721DF9E5E4185EB51C8A3486741,,0
15,CC-LY704,f,,f,11,283971041126163,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,C-comet,50,,61.8,0,0,0.5,1.2,1.3,0.5,291,#6b6b6b,comet2,0101000020110F0000D7A370E5D12870C1C3F52804748562C1,,0
3190,P-LA25-VS84,t,"Thick atmosphere of nitrogen and helium. Its surface is scorching hot, and mainly composed of alumina with deposits of borax. The planet has an extensive network of subterranean caves, formed over the millennia by volcanic processes.",f,9300,35515429999999999000000000,Not located in the habitable zone,Veria,planet,"Natrium, Oxygen, Silicon monoxide",SA-5102W,Lava planet,1474,73.1,53.4,0,0.58,0.55,1.2,1.8,0.4,0,#a13100,a13100,0101000020110F0000973F8A540B2A4B4136107E842E4152C1,13.35,2.74
223,SF-0890V,f,,t,974400,3202290000000000500000000000000,3 AU,,star,No,,Class F,7515,,61.9,3,,0.66,1.58,1.1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000E17A14AE7EC54DC19A999951B73171C1,0,22.51
224,SG-4176N,f,,t,863040,1988999999999999900000000000000,1 AU,,star,No,,Class G,6248,,93.1,6,,0.63,1.29,1.2,0.4,0,#F9F6CF,F9F6CF,0101000020110F00008FC2F51CE9B570C1E17A14B607886341,0,17.82
225,SF-2628Y,f,,t,995280,2724930000000000200000000000000,2 AU,,star,No,,Class F,7128,,28.4,8,,0.66,1.5,1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000713D0AA73EC361413D0AD7F3E56259C1,0,18.36
254,SA-5102W,t,,t,1767840,5986889999999999100000000000000,8 AU,,star,No,,Class A,9251,,97,4,,0.85,1.2,1.2,0.4,0,#CBCDFE,CBCDFE,0101000020110F0000973F8A54F9F34A4136107E84A96952C1,0,12.79
1,CC-CV429,f,,f,7,152734768177724,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,C-comet,62,,20.5,0,0,0.5,1.53,1.8,0.6,268,#6b6b6b,comet2,0101000020110F00001F85EBF13ECC6EC148E17A6CCA5F6E41,,0
2,CP-TS928,f,,f,7,438679085871521,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,P-comet,65,,27.6,0,0,0.8,1.8,1.3,0.5,30,#B9BAB,comet1,0101000020110F00001F85EB91098D72C1F6285C6B26FF7241,,0
3,CX-JV436,f,,f,11,566880937077515,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,X-comet,65,,58.1,0,0,0.9,1.57,1.4,0.4,326,#d6d6d6,comet3,0101000020110F00000000000825B471C15C8FC2B5C8D56541,,0
4,CD-BM302,f,,f,11,370445322971998,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,D-comet,78,,71.5,0,0,0.7,1.11,1.4,0.6,164,#ba3a02,comet5,0101000020110F0000333333C3040357C17B14AE3F53FA68C1,,0
16,CX-SZ648,f,,f,11,543113463974145,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,X-comet,76,,31.5,0,0,0.3,1.32,1.8,0.6,117,#a57575,comet4,0101000020110F0000A4703DCA7CBF4AC100000080A20558C1,,0
17,CD-DX882,f,,f,8,926597933516185,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,D-comet,67,,95.3,0,0,0.9,1.73,1.5,0.4,52,#88a575,comet4,0101000020110F000085EB51C08D7C6C41B81E855BB10C5141,,0
18,CC-DL717,f,,f,11,905155313441137,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,C-comet,79,,59.4,0,0,0.8,1.8,1.7,0.7,255,#928d8d,comet2,0101000020110F000052B81E2584024A4185EB51440AEE70C1,,0
19,CP-VD721,f,,f,6,112333464088073,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,P-comet,70,,32.3,0,0,0.8,1.55,1.1,0.4,268,#B9BAB,comet1,0101000020110F00000AD7A35884347241713D0AA7DC4D6B41,,0
20,CP-KL069,f,,f,7,582296346077834,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,P-comet,69,,63.7,0,0,0.9,1.59,1.1,0.7,5,#B9BAB,comet1,0101000020110F0000295C8F42508727419A9999596D4B72C1,,0
21,CP-EN237,f,,f,19,698303126757175,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,P-comet,59,,34.2,0,0,0.6,1.34,1.9,0.6,124,#B9BAB,comet1,0101000020110F00005C8FC2650D2B5A413D0AD7C354DF71C1,,0
22,CP-GU280,f,,f,10,918564217113222,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,P-comet,72,,42.6,0,0,0.9,1.8,1.7,0.7,258,#B9BAB,comet1,0101000020110F000048E17A682B1571C148E17A08441572C1,,0
23,CX-CQ525,f,,f,13,640833997731486,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,X-comet,90,,98.7,0,0,1,1.27,1.3,0.7,149,#d6d6d6,comet3,0101000020110F0000A4703DE237A37041A4703DB2A64D6DC1,,0
24,CX-KO192,f,,f,9,158606575498640,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,85,,38.1,0,0,0.9,1.53,1.2,0.7,209,#9f9f9f,comet3,0101000020110F00008FC2F5E81F9740C1713D0A7B854F72C1,,0
25,CP-GT341,f,,f,7,716221691102824,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,P-comet,50,,4.4,0,0,0.7,1.71,1.9,0.7,135,#B9BAB,comet1,0101000020110F000014AE47A526337041A4703D0A7F1BE6C0,,0
26,CP-PB994,f,,f,11,313857990779848,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,P-comet,73,,15.8,0,0,0.5,1.7,1.6,0.6,240,#B9BAB,comet1,0101000020110F00001F85EBB9BF0F6741713D0AE740186FC1,,0
27,CX-LL105,f,,f,16,711503855470337,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,64,,91.8,0,0,0.7,1.55,1.5,0.5,293,#9f9f9f,comet3,0101000020110F00008FC2F5883F034241333333CB7F3966C1,,0
28,CP-FY899,f,,f,11,794846152693428,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,P-comet,81,,43.4,0,0,0.4,1.64,1.9,0.7,43,#B9BAB,comet1,0101000020110F00008FC2F598043E5A418FC2F5D0CD5168C1,,0
29,CP-CZ218,f,,f,8,337956531624289,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,P-comet,55,,49.7,0,0,0.6,1.5,1.2,0.4,32,#B9BAB,comet1,0101000020110F00005C8FC2DDC13D60413D0AD723F57D5141,,0
30,CD-KK262,f,,f,15,901556451866197,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,D-comet,51,,69.6,0,0,1,1.1,1,0.4,303,#ba3a02,comet5,0101000020110F0000E17A142ECF3C674133333393F24A6841,,0
31,CC-RY614,f,,f,14,781273018411023,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,C-comet,55,,92.2,0,0,0.3,1.36,1.5,0.4,360,#928d8d,comet2,0101000020110F00009A9999B10A516441E17A1446422467C1,,0
32,CC-NC590,f,,f,13,659356291033028,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,C-comet,58,,78.8,0,0,1,1.65,1.3,0.5,260,#928d8d,comet2,0101000020110F0000C3F52894A60D60C1EC51B81EB26A6141,,0
33,CP-XW620,f,,f,13,968129308506907,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,P-comet,66,,30.8,0,0,1,1.66,2,0.5,198,#B9BAB,comet1,0101000020110F0000AE47E1CA6ECA55C10AD7A370ED6E1AC1,,0
34,CC-AE856,f,,f,5,142909227103418,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,C-comet,65,,97.1,0,0,0.6,1.7,1.5,0.5,309,#6b6b6b,comet2,0101000020110F00009A9999B90657554166666636241E7041,,0
35,CX-TC608,f,,f,7,910026623983880,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,X-comet,68,,49.2,0,0,0.8,1.8,1.3,0.6,295,#d6d6d6,comet3,0101000020110F00009A999989097D5341E17A14DE74F862C1,,0
36,CP-DO299,f,,f,6,165553400081374,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,P-comet,55,,65.8,0,0,0.6,1.66,1.9,0.6,181,#B9BAB,comet1,0101000020110F000048E17A84335953C1C3F528C4FC086BC1,,0
37,CX-SO213,f,,f,6,735484283229096,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,X-comet,53,,22.3,0,0,0.7,1.31,1.9,0.5,196,#9f9f9f,comet3,0101000020110F0000000000B81EF672C1F6285C3F6AC151C1,,0
38,CP-YQ809,f,,f,11,340117669445517,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,P-comet,55,,78.4,0,0,0.5,1.34,1.8,0.7,304,#B9BAB,comet1,0101000020110F00003D0AD7831B3B55415C8FC2B177407041,,0
40,CD-JV643,f,,f,15,981663166574046,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,D-comet,66,,19.5,0,0,0.7,1.57,1.7,0.4,276,#88a575,comet4,0101000020110F00001F85EBF98425604148E17AFC54C66541,,0
215,SB-3653L,f,,t,2985840,22674600000000000000000000000000,315 AU,,star,No,,Class B,22141,,28.4,8,,1.15,1.29,1.1,0.6,0,#8B96FF,8B96FF,0101000020110F0000AE47E1AACDAA51416666665687B86F41,0,16.97
41,CD-AQ694,f,,f,20,375809865643182,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,D-comet,67,,81.3,0,0,0.9,1.62,1.5,0.6,360,#ba3a02,comet5,0101000020110F00000AD7A37044833041CDCCCC9CC6415041,,0
42,CD-HT164,f,,f,7,908961101574340,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,D-comet,54,,54.4,0,0,0.7,1.21,1.7,0.6,82,#ba3a02,comet5,0101000020110F0000295C8F4279F63641713D0A376D827241,,0
43,CD-SB717,f,,f,16,470549952546391,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,D-comet,61,,95.2,0,0,0.5,1.3,1.1,0.7,83,#ba3a02,comet5,0101000020110F00008FC2F5C08A7E69C10000005038AF5C41,,0
44,CX-ZF229,f,,f,7,569999690405093,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,X-comet,88,,89.7,0,0,0.6,1.62,1.1,0.5,281,#a57575,comet4,0101000020110F0000AE47E1BA31EE5F41E17A140E45D56D41,,0
45,CC-AV300,f,,f,7,944732315817258,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,C-comet,86,,67.6,0,0,0.8,1.49,1,0.4,65,#928d8d,comet2,0101000020110F00001F85EB619D596FC1C3F528BC29804CC1,,0
46,CP-HT326,f,,f,10,131977915606451,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,P-comet,75,,88.3,0,0,0.9,1.61,1.2,0.4,2,#B9BAB,comet1,0101000020110F000000000080790E3C41D7A370AD48AD70C1,,0
47,CP-SF840,f,,f,11,381442210539916,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen",,P-comet,74,,52.7,0,0,0.4,1.6,1.1,0.7,229,#B9BAB,comet1,0101000020110F0000666666262F5351413333339390F061C1,,0
48,CX-OO652,f,,f,18,197687803766545,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,51,,96.3,0,0,0.8,1.37,1,0.5,264,#9f9f9f,comet3,0101000020110F0000D7A3706D790A6141C3F5281CC1993B41,,0
50,CX-AC245,f,,f,14,920493002585365,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Carbon dioxide",,X-comet,87,,95.8,0,0,0.6,1.25,1.3,0.7,231,#d6d6d6,comet3,0101000020110F0000295C8FD2E57756C1000000D0C74E7141,,0
51,CD-US370,f,,f,18,991651360239672,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,D-comet,58,,85.4,0,0,1,1.72,1.1,0.5,283,#88a575,comet4,0101000020110F0000EC51B88E7F8C5041EC51B8DEEBF26D41,,0
52,CD-HS359,f,,f,17,697631042333148,Not located in the habitable zone,,comet,"Oxygen, Natrium, Hydrogen",,D-comet,67,,47.8,0,0,0.4,1.66,1.1,0.7,84,#989898,comet5,0101000020110F0000C3F528EC5F6263419A9999097C516FC1,,0
53,CP-KG464,f,,f,16,316443683019114,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,P-comet,74,,93.5,0,0,0.4,1.72,1.8,0.4,333,#B9BAB,comet1,0101000020110F000085EB518871E464C1CDCCCCDC37786CC1,,0
54,CX-DG410,f,,f,17,459022805415570,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,X-comet,53,,95.7,0,0,0.8,1.29,1.4,0.7,338,#9f9f9f,comet3,0101000020110F000014AE47F9421461C1E17A149AA27171C1,,0
55,CX-AF486,f,,f,20,551426004302421,Not located in the habitable zone,,comet,"Carbon dioxide, Nitrogen, Argon",,X-comet,65,,26.4,0,0,0.5,1.29,1.9,0.6,324,#9f9f9f,comet3,0101000020110F0000E17A14DECE6350C148E17A14CB5A4C41,,0
57,CD-CS675,f,,f,9,818232474046868,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,D-comet,68,,22.9,0,0,0.9,1.41,1.7,0.7,302,#ba3a02,comet5,0101000020110F00000AD7A37015B8F7C0AE47E13266C56141,,0
58,CD-WP414,f,,f,16,76425498340477,Not located in the habitable zone,,comet,"Nitrogen, Oxygen, Argon",,D-comet,77,,8.5,0,0,0.5,1.35,1.5,0.5,229,#ba3a02,comet5,0101000020110F00009A99994545F07141000000C03F7D4141,,0
