tag_id,type,description
medic:concussion,medic,"Concussion

Level 1: Loss of consciousness, headache

Level 2: Difficulty with thinking, consentration or balance

Level 3: Nausea, blurred vision, sleep disturbances, mood changes"
science:age_200,science,"Carbon dating

200 years old"
science:age_300,science,"Carbon dating

300 years old"
science:age_50,science,"Carbon dating
50 years old"
science:age_400,science,"Carbon dating
400 years old"
science:age_500,science,"Carbon dating

500 years old"
science:age_1000,science,"Carbon dating

1000 years old"
science:material_araknium,science,"Material

Araknium"
science:material_unknown_metal,science,"Material

Unknown metal alloy"
medic:burn,medic,"Burn

Level 1: First-degree burn affect only the superficial skin layers. Redness, no blisters. Pain can last up to three days.

Level 2: Second-degree burn: blisters, painful. Healing carn require up to eight weeks and scarring may occur.

Level 3: Third-degree burn extends to all layers of skin. There is no pain and burnt area is stiff. Healing does not occur on its own. "
medic:infection,medic,"Infection

Level 1: Flu-like symptoms. Will clear in few days by itself.

Level 2: Low fever, fatigue, cough, body aches. Will clear in few weeks.

Level 3: High fever. delirium, pain, swelling, organ failiure. Needs antibiotics and immidiate medical attention. "
science:age_error,science,"Carbon dating

Cannot be determined"
medic:mummy,medic,"Mummy

Mummyfied person. Cause of death: Lack of oxygen, blunt force trauma."
science:energy_level_active,science,"Energy level

Active"
science:energy_level_inactive,science,"Energy level

Inactive, cannot be fixed"
science:age_4000,science,"Carbon dating

4000 years old"
science:origin_machine,science,"Origin

Machine"
science:energy_level_broken,science,"Energy level

Broken, can be fixed"
science:origin_elder,science,"Origin

Elder"
science:origin_eoc,science,"Origin

EOC"
science:origin_earth,science,"Origin

Earth"
science:life_form_worm,science,"Worm

Unknown life form, molluscoid, slimy, handled carefully, when scared hides deeper into the tissue (or other bodily cavity), if the molluscoid perishes the regenerative properties cease to function."
science:material_araknium_unrefined,science,"Material

Unrefined Araknium, can be enriched to refined Araknium and from there to Araknium derivative"
,,
medic:worm,medic,"Patient feels stinging pain in the nape of their neck.

At first there are no external symptoms. Internal: inflammation, mild poisoning, hallucinations.

X-ray scan is highly suggested! 

Small worm like life forms visible around the neck area.

10-15 min after the patient has arrived, there will be a granulated lesion. 
((Wait for make up team! They will arrive to medbay.))

If any bits of the worm are left in the wound the worm will regenerate from the bits.

((For extra drama you could make a mistake in the removal process, the worm will regenerate and you need to start over.))"
medic:poison_blood_coagulation,medic,"Poisoning

Poisoning from an unknown life form. Blood does not coagulate. "
medic:wound,medic,"Wound

Level 1: Clean wound - Skin is torn, cut, or punctured (an open wound), needs to be cleaned and bandaged.

Level 2: Contaminated wound - Pathogenic organisms and foreign bodies in the wound. Possibility for infection. Needs to be cleaned and stitched.

Level 3: Infected wound - Pathogenic organisms present and multiplying, exhibiting clinical signs of infection (yellow appearance, soreness, redness, oozing pus). Give antibiotics, use clamps for closing the wound. If gangrene, remove affected tissue. "
medic:hypoxia,medic,"Hypoxia

Level 1: Numbness, tingling of extremities, nausea, confusion. Check and clear air ways. Give oxygen.

Level 2: Fatigue, disorientation, hallucinations, severe headaches. Check and clear air ways. Give oxygen as long as necessary.

Level 3: Behavioral change, reduced level of consciousness, cerebral anoxia. Check and clear air ways. Restore blood circulation, give oxygen."
science:machine_weapon,science,"A very conventional rifle, possibly human made, but adapted slightly for the machines. Surprisingly boring in it's make."
science:araknium,science,Araknium heat treatment successful
medic:radiation_stims,medic,"Radiation poisoning is interacting with substance abuse in the patients body, causing the immune system to overload. His mucus membranes and spit glands are going berserk, and patient needs fluids and i.v. hydration. Iodine pills for radiation and a possible liver operation. "
medic:bartender,medic,"Severe damage to internal organs, internal bleeding (blood in lungs).  

((Bio ID says Jack Lange, but character is Sally Lange. Please let me die for drama. You can extend dying but no miracle saves should work, you can come up with reasons why :))"
medic:velian_death,medic,"Patient has foreign, serrated, object lodged deep in the throat. Massive damage to carotid artery, larynx and trachea. The patient requires immediate surgery to stop bleeding and to have any possibility of retaining speech functions. Patient is unable to breathe, requires intubating. 

Patient has suffered burns from the blast.

After 10 minutes of intense surgery the patient seizures due to cardiac arrest caused by stress to the body and exsanguination (blood loss). 
Patient is pronounced dead after 13 minutes of surgery."
