id,name,sender_character_id,receiver_character_ids,plot_ids,event_ids,type,after_jump,locked,sent,message,gm_notes
18,Is marriage still on? Part 2,Idris Cain,Jose Cain,9,,Text NPC,5,FALSE,Not yet,"A placeholder where the father of Jose Cain says that Jose should honor the dead their mother made when the marriage between Jose and Rory was settled. It would mean anything at the moment especially if Jose will become the next leader of Hope. Pressure taking the leadership.
Also add a part where they are happy that Jose is alive!",Send the first message if Jose hasn't sent it first
19,Is marriage still on? Part 3,Enisa Cain,Jose Cain,9,,Text NPC,5,FALSE,Not yet,"A placeholder for a message where Jose's sibling will try to convince Jose that the marriage was indeed what their mother wanted for Jose.
Also add a part where they are happy that Jose is alive!",Send the first message if Jose hasn't sent it first
20,My dear Remi Sharp,Li Russell,Remi Sharp,8,,Text NPC,16,FALSE,Not yet,"My dearest Remi,
I'm so glad that you are alive. I had to run, run away from Pax. I couldn't take you with me so I left you behind, changed my name and fled. I knew you would be safer in Pax's care than with me. I was afraid of what Pax might do if I took you with me, afraid of the reprisals, the threats, the violence that might follow. It's a decision that weighs heavily on my heart, but I thought it was the best choice at the time. You have a sibling and they are on board the ESS Odysseus, Eugenie Russell. I hope you could be there for them in these horrible events and hopefully one day we can face our past together as a family.

With love and regret,
Your Mom, Lydia Sharp aka Li Russell",Send the message before you destroy ESS Valkyrie if the live NPCs has not told this during their visit
21,Amira is alive,Elya Andrews,Caden Andrews,55,,Fleet Admiral,11,FALSE,Not yet,"Dear Caden,
There's something important I need to share with you. Your daughter Amira is alive. Against all odds, she survived the attack on Ellarion, thanks to the bravery and quick thinking of Aydan.
When the Machines descended upon Ellarion, chaos ensued. Aydan managed to shield Amira from harm and lead her to a refuge where Amira was picked up on a transporter. There weren't enough room so Aydan was left behind to take the next transporter which never came. It's a miracle, Caden. Despite the darkness Amira is safe now, and we owe it all to Aydan's heroism.
Amira was injured during the attack and therefore I only got information about it just a while ago. She is on board ESS Aries.
I know this news may bring both relief and a flood of emotions. Please know that Amira is in good hands, and I will do everything in my power to ensure her well-being. Let us find solace in the knowledge that our beloved Amira is alive and safe.

With love and hope,
Elya Andrews",Send the message
22,Gale Chapman! Stop fooling around!,Beth Chapman,Gale Chapman,56,,Text NPC,7,FALSE,Not yet,A placeholder message where Beth Chapman (Gale's mother) tries make Gale Chapman to end a forbidden relationship to Nolan Hunter. Lex Peters told Beth about it.,
23,Hayden is yours,Salma Taylor,Cal Allen,58,,Text NPC,10,FALSE,Not yet,A placeholder message where Salma tells Cal Allen that Hayden is their child. Talk about possble future.,It might be possible for Cal to send Salma message first if Hayden has told Cal that they are their child.
24,What happened to my sister?,Ji-Hu Norris,Evin Reid,"57, 83",,Text NPC,6,FALSE,Not yet,A placeholder for a message asking what happened to my sister Kiran and their collegue Alix Granville. Ji-Hu could suspect that the acciden weren't an accident.,Gallan killed their sister Kiran and Alix making it look like an accident.
25,Why did you leave me behind?,Merissa Voight,Jodey Agaki,97,89,Text NPC,4,TRUE,Not yet,"Jodey, please respond if you get this! 
Please please tell me you are alive and that you have the AVK-012 still with you! We need it to survive. I’m alive, I managed to get off the planet but why did you left me behind? I’m on ESS Polaris.
I love you!
Merissa",Send the message after meeting the fleet but before you have destroyed ESS Polaris
26,Theosin Walker is dead,Kerry Meadows,"Hedly Walker, Noe Walker",,64,Fleet Secretary,9,TRUE,Not yet,A placeholder message to inform Hedly Walker and Noe Walker that their father Theosin Walker died when ESS Polaris is destroyed,Send the message after you have destroyed ESS Polaris
27,Andrej Alexandrov is dead,Tory Zarek (Fleet Secretary),"Karin Alexandrov, Briana Chambers",,89,Fleet Secretary,14,TRUE,Not yet,A placeholder message to inform that Andrej Alexandrov (sibling of Karin Alexandrov and parent of Briana Chambers) died when ESS Prophet was destroyed,Send the message after you have destroyed ESS Prophet
28,Merissa Voight is dead,Amelia Wells,"Jodey Agaki, Blake Ishimoto",97,89,Text NPC,14,TRUE,Not yet,A placeholder message to inform Jodey Agaki that Merissa Voight died when ESS Prophet was destroyed,Send the message after you have destroyed ESS Prophet
29,Li Russell and Thomas Russell are dead,Tory Zarek (Fleet Secretary),"Eugenie Russell, Gaylen Russell",,,Fleet Secretary,,TRUE,Not yet,A placeholder message to inform that Li and Thomas Russell died when ESS Valkyrie was destroyed,Send the message after you have destroyed ESS Valkyrie
30,Samira Watson is dead,Arturo Watson,Nikita Watson,,64,Text NPC,9,TRUE,Not yet,A placeholder message to inform that Samira Watson (Nikita's mother) died when ESS Polaris was destroyed,Send the message after you have destroyed ESS Polaris
31,Steff Carson is dead,Salma Taylor,Hayden Carson,,64,Text NPC,9,TRUE,Not yet,A placeholder message to inform that Steff Carson (Hayden's aunt) died when ESS Polaris was destroyed,Send the message after you have destroyed ESS Polaris
32,Suran Sewi is dead,Tory Zarek (Fleet Secretary),Aeran Lester,,64,Fleet Secretary,9,TRUE,Not yet,A placeholder message to inform that Suran Sewi (Aeran Lester's Ex) died when ESS Polaris was destroyed,Send the message after you have destroyed ESS Polaris
33,Caleb Wong is dead,Vanja Wong,"Malak Kovalenko, Zyra Lee, Harper Ellis, Idris McBride",97,64,Text NPC,9,TRUE,Not yet,A placeholder message to inform Caleb's friends of Caleb's death when ESS Polaris was destroyed,Send the message after you have destroyed ESS Polaris
34,Alex Harris is dead,Jeremy Ellis,"Tan Ellis, Harper Ellis, Fenix Ellis, Eva Ellis",,64,Fleet Secretary,9,TRUE,Not yet,A placeholder message to inform that Alex Harris (Fenix Ellis' spouse-to-be) died when ESS Polaris was destroyed,Send the message after you have destroyed ESS Polaris
35,Nakahara's are dead,Sevyn Nakahara,Espen Nakahara,79,64,Text NPC,9,TRUE,Not yet,"A placeholder message to inform that Ami, Eisen, Sevyn and Anri Nakahara died when ESS Polaris was destroyed. Now Espen Nakahara is the new heir of Wisdom dynasty.",Send the message after you have destroyed ESS Polaris
36,Naomi Green is dead,Tory Zarek (Fleet Secretary),Hale Green,,89,Fleet Secretary,14,TRUE,Not yet,A placeholder message to inform that Naomi Green (Hale Green's parent) died when CSS Prophet was destroyed,Send the message after you have destroyed ESS Prophet
37,Oren Carroll is dead,Tory Zarek (Fleet Secretary),Harley Carroll,,89,Fleet Secretary,14,TRUE,Not yet,A placeholder message to inform that Oren Carroll (Harley Carroll's parent) died when CSS Prophet was destroyed,Send the message after you have destroyed ESS Prophet
38,Aaren Riggs is dead,Sevyn Nakahara,Espen Nakahara,,89,Text NPC,14,TRUE,Not yet,A placeholder message to inform that Aaren Riggs (Leader of Wisdom Dynasty) died when CSS Prophet was destroyed. Espen Nakahara is the heir after others in Nakahara family. Check if they are still alive.,"Send the message after you have destroyed ESS Prophet
Notice that Espen Nakahara will be the heir when Aaren Riggs and others in Nakahara family dies."
39,Gira Hayakawa is dead,Tory Zarek (Fleet Secretary),"Isha Hayakawa, Lane Hayakawa",,108,Fleet Secretary,17,TRUE,Not yet,A placeholder message to inform that Gira Hayakawa (child of Isha Hayakawa and nibbling of Lane Hayakawa) died when ESS Valkyrie was destroyed,Send the message after you have destroyed ESS Valkyrie
40,Eliza Ray is dead,Garrett Hodge,"Vane Hodge, Kerrie Ray",,108,Text NPC,17,TRUE,Not yet,"A placeholder message to inform that Eliza Ray (Vane Hodge's aunt, Kerrie Ray's parent) died when ESS Valkyrie was destroyed",Send the message after you have destroyed ESS Valkyrie
41,Gerda McBride is dead,Viola McNaught,Mel McBride,,108,Text NPC,17,TRUE,Not yet,A placeholder message to inform that Gerda McBride (Mel McBride's parent) died when ESS Valkyrie was destroyed,Send the message after you have destroyed ESS Valkyrie
42,Holt Shaw is dead,Reyna Barnes,"Heath Steele, Han Barnes, Hale Green",,108,Text NPC,17,TRUE,Not yet,"A placeholder message to inform that Holt Shaw (The fourth H with Han, Hale and Heath) died when ESS Valkyrie was destroyed",Send the message after you have destroyed ESS Valkyrie
43,Nora Ellis and Taylor Smith are dead,Jeremy Ellis,"Tan Ellis, Harper Ellis, Fenix Ellis, Eva Ellis",,108,Fleet Secretary,17,TRUE,Not yet,"A placeholder message to inform that Nora Ellis and Taylor Smith (Nora was Tan's nibbling, Harper's and Fenix's cousin, Taylor Smith was Harper's spouse-to-be) died when ESS Valkyrie was destroyed",Send the message after you have destroyed ESS Valkyrie
44,Rayan Poole is dead,Tatia Vladimova,"Pax Houghton, Lonnie Gordon",,108,Text NPC,17,TRUE,Not yet,"A placeholder message to inform that Rayan Poole (ZW member, knew Pax is Spider) died when ESS Valkyrie was destroyed",Send the message after you have destroyed ESS Valkyrie
45,Teressa Khan is dead,Ayla Banner,"Valerian Fukui, Mel McBride, Hedly Walker, Arlyn Booth",,50,Text NPC,8,TRUE,Not yet,A placeholder message to inform that Teresa Khan (friend to all) died in a terrorist attack on ESS Aurora.,Send the message after the terrorist attack on ESS Aurora
46,Theodore Chapman is dead,Beth Chapman,Gale Chapman,,108,Fleet Secretary,17,TRUE,Not yet,A placeholder message to inform that Theodore Chapman (Gale Chapman's sibling) died when ESS Valkyrie was destroyed,Send the message after you have destroyed ESS Valkyrie
47,OSS Vulture destroyed,,,,25,News,4,TRUE,Not yet,"OSS Vulture Destroyed

OSS Vulture was destroyed after sustaining severe damage from a premature jump. 

Among the passengers killed were:
- Lupe Khan (Star Captain)

We are deeply sorry for the loss and extend our heartfelt condolences to the families and friends of the victims during this difficult time.","Send the message after you have destroyed OSS Vulture
Check the passangers before sending!"
48,ESS Polaris destroyed,,,,64,News,9,TRUE,Not yet,"ESS Polaris Destroyed

ESS Polaris was destroyed in the attack. 

Among the passengers killed: 
[see ESS Polaris on fleet tab].

We are deeply sorry for the loss and extend our heartfelt condolences to the families and friends of the victims during this difficult time.","Send the message after you have destroyed OSS Vulture
Check the passangers before sending!"
49,CSS Prophet destroyed,,,,89,News,14,TRUE,Not yet,"CSS Prophet Destroyed

CSS Prophet was destroyed after jumping to an asteroid field and trying to navigate to safety. 

Among the passengers killed were:
[see CSS Prophet on fleet tab].

We are deeply sorry for the loss and extend our heartfelt condolences to the families and friends of the victims during this difficult time.","Send the message after you have destroyed CSS Prophet
Check the passangers before sending!"
50,ESS Valkyrie destroyed,,,,108,News,17,TRUE,Not yet,"ESS Valkyrie Destroyed

ESS Valkyrie was destroyed during the attacks. 

Among the passengers killed were:
[see ESS Valkyrie on fleet tab].

We are deeply sorry for the loss and extend our heartfelt condolences to the families and friends of the victims during this difficult time.","Send the message after you have destroyed OSS Vulture
Check the passangers before sending!"
51,Assignment,Corey Mills,Leone Mills,33,,Text NPC,6,FALSE,Not yet,Placeholder text for an assignment from Corey Mills (Purity) to Leone.,Can be also an assignment from Angel Buchanan or Roman Plichata to Leone Mills and/or Abe Arima. Corey Mills would be then the orderer of it using middle mans.
52,Assignment/Report,Angel Buchanan,Abe Arima,33,,Text NPC,5,FALSE,Not yet,Placeholder text for an report or assignment from Angel Buchanan (Purity) to Abe Arima.,
53,Letter to Nickie Ramirez,Amy Ramirez,Nickie Ramirez,,,Letter,,FALSE,No need,Placeholder for the letter,"Before Lonnie Gordon's sibling Amy Ramirez (NPC) died, she told Lonnie to deliver a letter to their child, Lonnie's nibbling, Nickie Ramirez."
54,Letter to Deron Richard,Maron Richard,Deron Richard,63,,Letter,,FALSE,No need,Placeholder for the letter,During the Emperor assassination attempt Maron Richard handed a letter to Hali Okuma so that they can give it to Deron Richard.
55,Noe and Hedly are siblings,Theosin Walker,"Noe Walker, Hedly Walker",109,64,Text NPC,8,FALSE,Not yet,Placeholder text for Theosin to tell Noe and Hedly that they are siblings. ,"Theosin mainly spent their time with Hedly's family but had a ""side family"" with Noe. Left Noe's family at some point to fully focus Hedly and Edina."
56,Write about Earth outpost,Quinn Willis,Oriel Cook,110,,Text NPC,16,TRUE,Not yet,Placeholder text for Quinn to request Oriel to write about Earth outpost and confession letter,
57,Tip about Marcio,Garen Knowles,Oriel Cook,111,,Text NPC,7,TRUE,Not yet,Placeholder text for Garen to tip about Marcio,
58,Tip about Karma,Eddar Laurence,Dayle Rogers,112,,Text NPC,11,TRUE,Not yet,Placeholder text for Eddar to tip Dayle that Karma is going to be destroyed as a terrorist vessel since Karma has many ZW operatives on it.,
59,Future of Mercy,Sierra Lee,Zyra Lee,102,,Text NPC,,TRUE,Not yet,Placeholder text for Sierra Lee trying to get Zyra to be the next Mercy dynasty leader,Send before Sierra Lee's death
60,Future of Old Ways,Sierra Lee,Osha Green,102,,Text NPC,,TRUE,Not yet,Placeholder text for Sierra Lee trying to get Osha to be the next Old Ways leader,Send before Sierra Lee's death
61,Memories,,Gallan Reid,,,Memories,,FALSE,Not yet,,
62,Memories,,Devyn Pearson,,,Memories,,FALSE,Not yet,,
63,Memories,,Tristan Fukui,4,,Memories,,FALSE,Not yet,,
64,Hello dear Malak Kovalenko,Nadia Kovalenko,Malak Kovalenko,48,,Text NPC,3,TRUE,Not yet,"Hello dear, how are you? 
I hope you are not working too hard. We are very grateful for the money you sent us, but the last thing I want is for you to exhaust yourself. We'll manage. The crops are doing quite well this year, we have had enough rain, although the weeds are terrible. We are going to feast on some berries tomorrow for your father's birthday. He has been tired as usual and a little cranky because it's too hot for him to sit outside, he feels confined having to stay indoors all day. Let's hope for a cooler day tomorrow. Please drop us a line whenever you can. It would be great if you could send a photo of yourself if the data fees are not too high. 
Love, mum",
65,Future of Old Ways 2,Viola McNaught,Osha Green,102,,Text NPC,10,TRUE,Not yet,Placeholder text for pushing Osha to take Old Ways leadership after Sierra Lee died,Send after Sierra Lee's death
66,Future of Mercy 2,Asano Akoto,Zyra Lee,102,,Text NPC,10,TRUE,Not yet,Placeholder text for pushing Zyra to take Mercy leadership after Sierra Lee died,
67,What happened to my siblings,Kara Bennett,Hedly Walker,30,,Text NPC,6,FALSE,Not yet,Placeholder text for Kara to inquire Hedly if they know what happened to their siblings. Kara got some info that they both knew Hedly Walker.,Send when GMs has extra time
68,I love you Blake Ishimoto - Love mum,Sodiya Ishimoto,Blake Ishimoto,,,Text NPC,3,TRUE,Not yet,"Blake,
I don’t know if you’ll ever read this message but if you do I want to say that I love you, you’ll always be my darling child, nothing can change that. I know we’ve had our differences but I forgive you everything.
Please please be alive, I pray the Spirit that you are and that we’ll get to see each other again. I don’t have time to write more right now. I’m on a ship called Cyclone. 
I love you.",Send right after meeting the fleet
69,The leader of Wisdom is dead,Sevyn Nakahara,Espen Nakahara,"77, 79",89,Text NPC,,TRUE,Not yet,Placeholder text to inform Espen that Leader of Wisdom is dead and Espen really need to be the new leader.,Send after Aaren Riggs (Leader of Wisdom) dies when CSS Prophet is destroyed
70,Fergus Dale is dead,Siri Fay,Han Barnes,,108,Text NPC,17,TRUE,Not yet,"A placeholder message to inform that Fergus Dale died when ESS Valkyrie was destroyed. Han Barnes tried to apply for a job when they were too young running away from home and Fergus, Quartermaster of Ashoka Military Base, called the cops. Later on Han got the job after their mother called Fergus to thank them for finding Han.",Send the message after you have destroyed ESS Valkyrie
71,I'm alive Jin Komatsu,Reid Komatsu,Jin Komatsu,119,,Text NPC,,FALSE,Not yet,Placeholder text to inform Jin Komatsu that they are alive. They just woke up from coma.,
72,Is Jodey alive?,Merissa Voight,Blake Ishimoto,97,89,Text NPC,4,TRUE,Not yet,"Hi Blake!
I so hope you’re alive! You were on the Odysseus when the attack hit, right? I’m trying to message everyone I know, I can’t bear to think everyone I know is dead, please reply if you get this!
I’m on the ship ESS Polaris. I’m okay, just bruised, but I managed to escape the Machines and I got off the planet. If you hear any news of a person called Jodey Agaki (I don’t know if you know them), please tell me, I need to know if they survived.
Merissa",
73,The future depends on you fellow scientists,Kara Bennett,"Remy Hall, Terran Wells, Blake Ishimoto, Devyn Pearson, Evin Reid",,,Text NPC,4,TRUE,Not yet,"Hello everyone!
I’m sending this message to everyone I know, in hopes that at least one of you might answer. I’m alive (obviously) and well, currently onboard ESS Memory, which is a civilian corvette and currently carries 107 passengers.
Enough chit-chat, let’s get to business. The fate of the entire human race quite literally depends on us now, on how we are able to respond to this enormous challenge. Frustratingly, there is not much I can do from where I am at the moment, but you might be in a better position to do something, and I might in turn be able to help you. Especially looking at you, Remy et al. onboard ESS Odysseus. I hope you lot made it out.
If you are alive, please send a reply as soon as you receive this message. If you are dead, you obviously don’t have to reply, but you can if you want to and manage to find a way. If you are alive and don’t reply, that’s on you, but know that I think that’s just plain rude, considering the circumstances.
Regards,
Doctor Kara BennettLead ScientistElder Outpost research project",
74,Pax Houghton is your father,Evelyn Case,Ballard Case,,81,Text NPC,9,TRUE,Not yet,Placeholder text for telling Ballard that it was Pax Houghton who is their real father and telling that Evelyn just couldn't stand Pax's criminal life. Evelyn still thinks that she did the right thing but is sorry that Ballard grew up without father. ,Send this before Karma is blamed to be Gray Scorpio vessel
