id,name,character_groups,character_ids,event_ids,artifact_ids,size,themes,importance,gm_actions,text_npc_first_message,after_jump,locked,description,gm_notes,copy_from_characters
14,Terran Wells' disappearence,Velians,"Terran Wells, Aedan, Nicol Wells, Gail Wells, Blake Ishimoto, Jardan",,,Medium,Disapearance,Nice to have,No need,FALSE,,FALSE,"Terran disappeared when they were 12 years old from Velian. Terran was the tender sibling of Aedan. Terran escaped to Ellarion to pursue a career in science. Nicol Wells helped Terran to leave and later on Nicol Wells' parents adopted Terran.
Jaeco was Terran's apprentice.",,
15,The Guardian - The story,"Velians, Scientists","The Guardian, Jardan, Taelor, Aedan, Saria, Zaera,  Mael, Keana, Tarai, Anix, Nayel, Naethan, Jaeco, Briya, Karin Alexandrov",,,Large,The Guardian,Mandatory,Briefing Character,FALSE,,FALSE,,,"The Guardian
Read the Guardian character for more information"
16,Kidnapping of Jose Cain,"Law Enforcement, Criminals","Jose Cain, Aeran Lester, Remi Sharp, Pax Houghton, Lonnie Gordon, Espen Nakahara, Hedly Walker, Shae Thomas, Jin Komatsu",,,Medium,Kidnapping,Should have,No need,FALSE,,FALSE,"Three weeks ago an heir to the Hope Dynasty, Jose Cain, child of Elya Cain (NPC), leader of Hope, was kidnapped. Last sighting of Jose was, when they were seen to enter an unidentified spaceship and some days later the first ransom requests were sent. The negotiations for their release didn’t however move forward and the hope of their survival have diminished.
The Zodiac Web decided to kidnap Jose Cain, the heir of Hope dynasty, just to get more funds. Espen Nakahara lured Jose so that they could kidnap Jose. The mastermind behind the kidnapping is Pax. Others involved are the crew of OSS Orion. Jose is still controlled by the kidnappers. To Odysseus crew they told that they are civilians who ""rescued"" Jose. Jose is too afraid to talk to anyone and they also fell in love with one of the kidnappers who were guarding them Remi Sharp. ",,
17,Jose Cain's tumor,Medics,"Jose Cain, Aeran Lester, Jin Komatsu, Lex Peters",,,Small,"Tumor, Surgery",Nice to have,Briefing Character,FALSE,,FALSE,Jose Cain has a tumor similar to their uncle Jin Komatsu. Aeran Lester operated Jin Komatsu's tumor back in the day successfully.,"Might need briefing how to do the surgery. 
The A550 ""power bank"" is needed for the surgery.",
18,Gail Wells and their blackmailers,"Medics, Security, Armory","Gail Wells, Aeran Lester, Espen Nakahara, Nickie Ramirez, Isha Hayakawa, Kerrie Ray",,,Small,"Blackmailing, Drugs",Nice to have,No need,FALSE,,FALSE,"Gail Wells is being blackmailed by several reasons to get drugs.
Aeran Lester noticed that Gail was under the influence of drugs and managed to blackmail antipsycchotic drugs to help Espen Nakahara with their ptsd. 
Espen Nakahara also noticed Gail taking some pills and Espen threathened to tell Chief Medic unless they didnät give Espen some stims.
Nickie Ramirez also knows Gail has stims addiction and blackmails stimms for themselves (been few months now)
Isha Hayakawa has noticed that some of the medicines are missing from the inventory.
Gale is Kerrie Rays good friend and Kerrie saw Gail steal stimulant from medbay. Kerrie didn't report it.",,
19,Hailey Carroll (NPC) taken by the Machines,Marines,"Hailey Carroll, Harley Carroll, Alia Swanson, Idris McBride, Idris Kalashnik",23,,Small,"Death of NPC, Android, The Machines",Mandatory,Briefing NPCs,FALSE,7,FALSE,"Alia Swanson joined military underaged and was sent to the battle of Arak. Alia survived because of Hailey Carroll who knew Alia was underaged. The Machines ambushed Carroll's team and Carroll ordered Alia to run for backup. Carroll run and the machines followed them. Alia saw that the machines didn't kill Carroll but dragged them away alive. Alia was too frozen to do anything. Later Alia woke up in a hospital and Harley Carroll (Hailey's sibling) visited Alia. They wanted to know what happened to Hailey. Alia told what they saw.
Hailey also saved Idris McBride's (Kalashink) life.","More info: https://docs.google.com/document/d/18ZnIZ94UcdKSd6QZN4QNXWTxfZKcQ_bpOGLMNMmEl9c/edit
Hailey Carroll is a machine android, built as a copy and has Haileys memories.
Will show up during the game before jump 8 during ambush + boarding",
20,The death of Amie Bolton (NPC),,"Amie Bolton, Amir Bolton, Eva Ellis, Jill Montoya, Mark Bolton, Xavier Blake",55,,Small,"Death of NPC, Surgery",Nice to have,Briefing NPCs,FALSE,,FALSE,"Amie Bolton (sibling of Amir Bolton and child of Mark Bolton) died during a routine operation, an operation to remove the gallbladder, in the hands of Eva Ellis. Amie did have a chronic illness (hypertension, high blood pressure that affects the body's arteries) but it shouldn’t have affected the surgery. Amir should have been there for her but it was supposed to be a routine operation!
Eva is suffering from a debilitating nervous disorder. Eva had noticed some early symptoms, but pushed them aside and against their better judgment they had kept working. And it resulted in the death of a patient during routine operation. The patient was Amie Bolton (NPC), sibling of Eva's husband's colleague Amir Bolton.
Xavier Blake is now blackmailing Eva because they found out Eva had this condition.",If Mark Bolton visits ESS Odysseus during the mutiny of Harbinger event Mark should go and shake Eva Ellis about this.,
21,Engineers vs. Armory,"Engineers, Armory","Amir Bolton, Isha Hayakawa, Fran Abrankowich",,,Small,Quarrel,Nice to have,No need,FALSE,0,FALSE,"Amir's harmless prank triggered the conflict, leading Quartermaster Isha Hayakawa to retaliate by repurposing the break room into a hydroponic garden, despite its sentimental value. Attempts to reason with Isha failed, resulting in the need for special casings to protect sensitive equipment. An allergic reaction to Amir's peace-offering cake further fueled tensions, with Isha wrongly perceiving revenge motives. The rift between Amir and Isha has escalated, dividing the crews and necessitating delicate negotiations for reconciliation amidst escalating tensions.
Fran Abrankowich is in the middle of the fight trying to be a friend to both of them.",,"The Armory incident has been the talk of the engineering crew lately, leaving everyone scratching their heads as to how it all began. Rumors have been swirling, but the exact cause of the quarrel remains a mystery.
Some believe it all began innocently enough with a well-intentioned prank orchestrated by Amir to lighten the mood amidst the tension on board. However, Isha, the Quartermaster, failed to see the humor in it and retaliated by taking away the engineering crew's beloved break room, which was the Old Chief Engineer’s room,  transforming it into a hydroponic garden. While the transformation of the storage room into a science lab seemed reasonable, the loss of the break room was baffling. It was undoubtedly an act of revenge since Isha knew the sentimental value of the room to you. Who even utilizes the hydroponic garden?
Your protests fell on deaf ears, like fairy wings fluttering against the steel hull of a starship. Amir tried to reason with Isha how in the break room were very delicate antimatter phase transistors which were sensitive to moisture but nothing could be done. Isha had gotten some others on the ship to back it up and so you had to construct a special casing to shield your fragile systems from moisture.
And to add insult to injury, Isha had a bit of an allergic reaction to hazelnuts after indulging in Amir's peace-offering cake. Thankfully, someone helped them off to sickbay before things got too dicey. Now, Isha's convinced that Amir's out for revenge, which couldn't be further from the truth. You all know Amir wouldn't harm a fly, let alone orchestrate a sneaky plot against someone.
Regardless of how it started, tension between Amir and Isha has reached a boiling point, with the engineering and armory crews caught in the middle. Amir is determined to reclaim the break room, while Isha remains steadfast in their decision, convinced of Amir's ill intentions. Who knew a simple act of kindness could spiral into such chaos? 
Sometimes Amir has asked one of you to run an errand regarding Isha just to avoid unnecessary fights. It's clear that reconciliation is needed, but finding common ground may prove to be a challenging task."
22,Karin Alexandrov Missing In Action,Velians,"Karin Alexandrov, Han Barnes, Amir Bolton, Anix, Briana Chambers",,,Small,Missing in Action,Mandatory,No need,FALSE,3,FALSE,"Karin was Amir Bolton's best friend whose ship disappeared from the map 15 years ago when they were testing the new jump technology. Amir has studied the blueprints of the jump drive Karin was testing and if it was built as it was in the blueprints, it should’ve worked. Karin should still be alive.
Karin was also spouse-to-be of Han Barnes and relative of Briana Chambers.
The jump drive did work and Karin ended up on Velian with lost memory. During the time on Velian Karin became close friends with Anix. Karin promised to take Anix with them when they would return to EOC but Karin didn't. Karin has slowly gotten the memories back.",,
23,Collapsing of the Velian Dome,Velians,"Anix, Jaeco, Jardan, Saria, The Guardian, Keana",,,Medium,Velian Dome,Should have,No need,FALSE,,FALSE,"It was Researcher Saria who brought the situation to your knowledge 10 years ago. Saria claimed that the Dome was showing signs of weakening. The Protectors turned to the Guardian to confirm this, but they could neither deny nor confirm it. They inspected the systems and saw that the radius of the Dome had grown smaller over the years, but only a little.
The Protectors did not want to alarm the nation, so they told Saria to quit fearmongering and named them a Doomsayer to take away their authority. The Protectors did not ignore Saria, they simply made the decision that this was not an urgent matter.
Jaeco thinks that Velians should have started to discuss plan B and they argued a lot with Jardan.
Keana didn't believe Saria's warnings at first but now Keana thinks Saria si the wisest person they know and want to support them.",,
24,The suicide demand of Hali Okuma,,"Hali Okuma, Mael, Anix, Oriel Cook, Roan Rowen, Flann Hollow, Lonnie Gordon, Taren Yates, Devyn Pearson",51,,Medium,Suicide,Should have,Briefing Character,FALSE,,FALSE,"Hali Okuma has experienced profound loss throughout their life, from the death of their spouse, Alia (NPC), to the tragic loss of their child, Ryane (NPC). These events have left deep emotional scars and drive them to quest for justice and answers. Hali has gravitated towards radical ideologies and underground movements like Gray Scorpio. HAli's quest for justice blurs the lines between right and wrong and they are willing to resort to extreme measures including violence and sabotage.","[Meta instruction for Hali Okuma: Your character will die in a partly pre-planned event during the last hours of the larp. Hali Okuma has lost a lot during their life, which has built up tremendous resentment towards the system and some individuals. Throughout the larp, more and more information will be revealed about things that have been covered up, which should escalate Hali’s radical thoughts. There is one individual in particular – Devyn Pearson – who is yet to face the consequences of their actions. This injustice should push Hali towards desperate actions during the last hours of the larp and drive them to a partly pre-planned scene where they threaten a group of people in order to get justice. The scene will most likely end with Hali being killed by the ship’s security team. Playing towards this outcome is very much supported by everything that will be revealed, but the character also has plenty of other meaningful connections and a lot of agency. Keep the fate of your character a secret from all the other players! ] ",
25,The death of Derek Booth (NPC),Law Enforcement,"Arlyn Booth, Pax Houghton, Derek Booth, Sandra Booth, Eli Booth",,,Small,"Murder, Death of NPC",Nice to have,No need,FALSE,,FALSE,"Arlyn Booth accidentally killed their abusive father when they were only 14 years old, something Pax Houghton, their adoptive sibling, helped them to cover up. Arlyn never faced any consequences and it still weighs heavily on them.",,
26,The death of Noah Booth (NPC),,"Noah Booth, Arlyn Booth, Eli Booth, Sandra Booth, Gene Hawkins, Taren Yates, Ismy Arima",,,Small,"Death of NPC, Jealousy",Nice to have,No need,FALSE,,FALSE,"Ismy's hit single ""Fly With Me"" made them famous, but Eli's support was tainted by jealousy and longing. When Ismy started dating Eli's sibling Noah, Eli felt even more resentful. Getting into Saigo Academy offered Eli a chance to shine away from Noah's shadow. With the help of instructors like Taren Yates, Eli improved their flying skills. But when Noah took away Eli's chance to show off during a big flight practice, Eli's frustration led to sabotage. Changing the fighter controls caused a crash that killed Noah, leaving Eli feeling guilty and sorry. They only confided in their cousin Gene.",,
27,Zodiac web,,"Pax Houghton, Aeran Lester, Lonnie Gordon, Arlyn Booth, Jose Cain, Remi Sharp, Espen Nakahara, Hedly Walker, Shae Thomas, Nico Lawrence, Jona Davis, Tatia Vladimova, Rayan Poole, Brice Cole, Kita Ukon, Kaya Koma, Salva Denisovich, Terry Marsh, Fenix Ellis, Lane Thomas, Lane Hayakawa, Taren Yates, Farron Washington, Glen Hollow, Jordan Washington, Julia Aurelios Cauruleos, Noe Walker",,,Large,Zodiac Web,Mandatory,Text NPC,TRUE,,FALSE,"The leader of ZW ""The Spider"" is Pax Houghton, which is a well kept secret. Right hand of Pax is Lonnie Gordon. Only handfull of people knows it: Hedly Walker, Lonnie Gordon, Remi Sharp, Tatia Vladimova, Rayan Poole.
Zodiac web is a criminal organization who does anything for money.
Their latests jobs are:
Kidnapping of Jose Cain (ZW)
Stealing Silent Petal rhodium necklace (ZW, had a buyer but they backed out)
Attack to Osiris embassy on Ellarion (Ordered by Lane Thomas/Hayakawa, executed by Remi Sharp)
Tampering the votes making Richard Tremor a Senator (Remi Sharp, Kai Rogers as orderer)
Murder of Senator Richard Tremor (Nico Lawrence aka Blackbird, only Remi Sharp knows what Nico looks like, ordered by Purity)
Ows money: Aeran Lester, Fenix Ellis, Taren Yates, Farron and Jordan Washington
Noe Walker used to be running errands for ZW as a child.",,
