id,zoom,quadrant,sector,sub_sector,name,x,y,the_geom,sub_quadrant
4628,4,Gamma,A2,4,Gamma-1-A2-4,19,16,0103000020110F000001000000050000000BD723DA08095FC10000801BD8EC61410BD723DA08095FC19A999961C41E6341F6285CC9E0A55CC19A999961C41E6341F6285CC9E0A55CC10000801BD8EC61410BD723DA08095FC10000801BD8EC6141,Gamma-1
4629,4,Gamma,A3,5,Gamma-2-A3-5,20,16,0103000020110F00000100000005000000E27A94B8B8425AC19A999961C41E6341E27A94B8B8425AC10000801BD8EC6141F6285CC9E0A55CC10000801BD8EC6141F6285CC9E0A55CC19A999961C41E6341E27A94B8B8425AC19A999961C41E6341,Gamma-2
4630,4,Gamma,A3,6,Gamma-2-A3-6,21,16,0103000020110F00000100000005000000E27A94B8B8425AC10000801BD8EC6141E27A94B8B8425AC19A999961C41E6341CDCCCCA790DF57C19A999961C41E6341CDCCCCA790DF57C10000801BD8EC6141E27A94B8B8425AC10000801BD8EC6141,Gamma-2
1002,3,Eta,C4,,Eta-6-C4,,,0103000020110F00000100000005000000E27A94B8B8426A41353333064E4A6AC1E27A94B8B8426A410200007A75E667C1F6285CC9E0A56C410200007A75E667C1F6285CC9E0A56C41353333064E4A6AC1E27A94B8B8426A41353333064E4A6AC1,Eta-6
1003,3,Eta,D3,,Eta-6-D3,,,0103000020110F00000100000005000000E27A94B8B8426A41353333064E4A6AC1E27A94B8B8426A416866669226AE6CC1CDCCCCA790DF67416866669226AE6CC1CDCCCCA790DF6741353333064E4A6AC1E27A94B8B8426A41353333064E4A6AC1,Eta-6
1004,3,Eta,C3,,Eta-6-C3,,,0103000020110F00000100000005000000E27A94B8B8426A410200007A75E667C1E27A94B8B8426A41353333064E4A6AC1CDCCCCA790DF6741353333064E4A6AC1CDCCCCA790DF67410200007A75E667C1E27A94B8B8426A410200007A75E667C1,Eta-6
1005,3,Delta,D2,,Delta-5-D2,,,0103000020110F00000100000005000000A4703D86401933410000007A75E65741A4703D86401943410000007A75E65741A4703D86401943419A999961C41E5341A4703D86401933419A999961C41E5341A4703D86401933410000007A75E65741,Delta-5
1006,3,Delta,C2,,Delta-5-C2,,,0103000020110F00000100000005000000A4703D86401933410000007A75E65741A4703D86401933416766669226AE5C41A4703D86401943416766669226AE5C41A4703D86401943410000007A75E65741A4703D86401933410000007A75E65741,Delta-5
1007,3,Delta,D1,,Delta-5-D1,,,0103000020110F00000100000005000000A4703D86401933410000007A75E65741A4703D86401933419A999961C41E534100000000000000009A999961C41E534100000000000000000000007A75E65741A4703D86401933410000007A75E65741,Delta-5
1008,3,Delta,C1,,Delta-5-C1,,,0103000020110F00000100000005000000A4703D86401933416766669226AE5C41A4703D86401933410000007A75E6574100000000000000000000007A75E6574100000000000000006766669226AE5C41A4703D86401933416766669226AE5C41,Delta-5
1009,3,Iota,H2,,Iota-13-H2,,,0103000020110F0000010000000500000090C2757518B660C10000801BD8EC71C1F6285CC9E0A55CC10000801BD8EC71C1F6285CC9E0A55CC19A999961C41E73C190C2757518B660C19A999961C41E73C190C2757518B660C10000801BD8EC71C1,Iota-13
1010,3,Iota,G2,,Iota-13-G2,,,0103000020110F0000010000000500000090C2757518B660C10000801BD8EC71C190C2757518B660C1676666D5EBBA70C1F6285CC9E0A55CC1676666D5EBBA70C1F6285CC9E0A55CC10000801BD8EC71C190C2757518B660C10000801BD8EC71C1,Iota-13
1041,3,Xi,B8,,Xi-4-B8,,,0103000020110F00000100000005000000A4703D86401933C10000801BD8EC714100000000000000000000801BD8EC71410000000000000000666666D5EBBA7041A4703D86401933C1666666D5EBBA7041A4703D86401933C10000801BD8EC7141,Xi-4
1193,3,Pi,H4,,Pi-14-H4,,,0103000020110F00000100000005000000E27A94B8B8426A41CDCCCCED9C826541F6285CC9E0A56C41CDCCCCED9C826541F6285CC9E0A56C419A999961C41E6341E27A94B8B8426A419A999961C41E6341E27A94B8B8426A41CDCCCCED9C826541,Pi-14
4631,4,Gamma,A4,7,Gamma-2-A4-7,22,16,0103000020110F00000100000005000000B81E0597687C55C19A999961C41E6341B81E0597687C55C10000801BD8EC6141CDCCCCA790DF57C10000801BD8EC6141CDCCCCA790DF57C19A999961C41E6341B81E0597687C55C19A999961C41E6341,Gamma-2
4632,4,Gamma,A4,8,Gamma-2-A4-8,23,16,0103000020110F00000100000005000000B81E0597687C55C10000801BD8EC6141B81E0597687C55C19A999961C41E6341A4703D86401953C19A999961C41E6341A4703D86401953C10000801BD8EC6141B81E0597687C55C10000801BD8EC6141,Gamma-2
4633,4,Gamma,A5,9,Gamma-3-A5-9,24,16,0103000020110F0000010000000500000090C2757518B650C19A999961C41E634190C2757518B650C10000801BD8EC6141A4703D86401953C10000801BD8EC6141A4703D86401953C19A999961C41E634190C2757518B650C19A999961C41E6341,Gamma-3
4634,4,Gamma,A5,10,Gamma-3-A5-10,25,16,0103000020110F0000010000000500000090C2757518B650C10000801BD8EC614190C2757518B650C19A999961C41E6341F6285CC9E0A54CC19A999961C41E6341F6285CC9E0A54CC10000801BD8EC614190C2757518B650C10000801BD8EC6141,Gamma-3
4635,4,Gamma,A6,11,Gamma-3-A6-11,26,16,0103000020110F00000100000005000000CDCCCCA790DF47C19A999961C41E6341CDCCCCA790DF47C10000801BD8EC6141F6285CC9E0A54CC10000801BD8EC6141F6285CC9E0A54CC19A999961C41E6341CDCCCCA790DF47C19A999961C41E6341,Gamma-3
4636,4,Gamma,A6,12,Gamma-3-A6-12,27,16,0103000020110F00000100000005000000CDCCCCA790DF47C10000801BD8EC6141CDCCCCA790DF47C19A999961C41E6341A4703D86401943C19A999961C41E6341A4703D86401943C10000801BD8EC6141CDCCCCA790DF47C10000801BD8EC6141,Gamma-3
4637,4,Gamma,A7,13,Gamma-4-A7-13,28,16,0103000020110F00000100000005000000F6285CC9E0A53CC19A999961C41E6341F6285CC9E0A53CC10000801BD8EC6141A4703D86401943C10000801BD8EC6141A4703D86401943C19A999961C41E6341F6285CC9E0A53CC19A999961C41E6341,Gamma-4
4638,4,Gamma,A7,14,Gamma-4-A7-14,29,16,0103000020110F00000100000005000000F6285CC9E0A53CC10000801BD8EC6141F6285CC9E0A53CC19A999961C41E6341A4703D86401933C19A999961C41E6341A4703D86401933C10000801BD8EC6141F6285CC9E0A53CC10000801BD8EC6141,Gamma-4
4639,4,Gamma,A8,15,Gamma-4-A8-15,30,16,0103000020110F00000100000005000000A4703D86401923C19A999961C41E6341A4703D86401923C10000801BD8EC6141A4703D86401933C10000801BD8EC6141A4703D86401933C19A999961C41E6341A4703D86401923C19A999961C41E6341,Gamma-4
4640,4,Gamma,A8,16,Gamma-4-A8-16,31,16,0103000020110F00000100000005000000A4703D86401923C10000801BD8EC6141A4703D86401923C19A999961C41E634100000000000000009A999961C41E634100000000000000000000801BD8EC6141A4703D86401923C10000801BD8EC6141,Gamma-4
4641,4,Gamma,A1,17,Gamma-1-A1-17,16,17,0103000020110F000001000000050000009A99D97DACE761C10000801BD8EC61419A99D97DACE761C1676666D5EBBA6041A4703D86401963C1676666D5EBBA6041A4703D86401963C10000801BD8EC61419A99D97DACE761C10000801BD8EC6141,Gamma-1
4642,4,Gamma,A1,18,Gamma-1-A1-18,17,17,0103000020110F000001000000050000009A99D97DACE761C10000801BD8EC614190C2757518B660C10000801BD8EC614190C2757518B660C1676666D5EBBA60419A99D97DACE761C1676666D5EBBA60419A99D97DACE761C10000801BD8EC6141,Gamma-1
4643,4,Gamma,A2,19,Gamma-1-A2-19,18,17,0103000020110F000001000000050000000BD723DA08095FC10000801BD8EC61410BD723DA08095FC1676666D5EBBA604190C2757518B660C1676666D5EBBA604190C2757518B660C10000801BD8EC61410BD723DA08095FC10000801BD8EC6141,Gamma-1
4644,4,Gamma,A2,20,Gamma-1-A2-20,19,17,0103000020110F000001000000050000000BD723DA08095FC10000801BD8EC6141F6285CC9E0A55CC10000801BD8EC6141F6285CC9E0A55CC1676666D5EBBA60410BD723DA08095FC1676666D5EBBA60410BD723DA08095FC10000801BD8EC6141,Gamma-1
4645,4,Gamma,A3,21,Gamma-2-A3-21,20,17,0103000020110F00000100000005000000E27A94B8B8425AC10000801BD8EC6141E27A94B8B8425AC1676666D5EBBA6041F6285CC9E0A55CC1676666D5EBBA6041F6285CC9E0A55CC10000801BD8EC6141E27A94B8B8425AC10000801BD8EC6141,Gamma-2
4646,4,Gamma,A3,22,Gamma-2-A3-22,21,17,0103000020110F00000100000005000000E27A94B8B8425AC10000801BD8EC6141CDCCCCA790DF57C10000801BD8EC6141CDCCCCA790DF57C1676666D5EBBA6041E27A94B8B8425AC1676666D5EBBA6041E27A94B8B8425AC10000801BD8EC6141,Gamma-2
4647,4,Gamma,A4,23,Gamma-2-A4-23,22,17,0103000020110F00000100000005000000B81E0597687C55C10000801BD8EC6141B81E0597687C55C1676666D5EBBA6041CDCCCCA790DF57C1676666D5EBBA6041CDCCCCA790DF57C10000801BD8EC6141B81E0597687C55C10000801BD8EC6141,Gamma-2
2001,4,Xi,G1,193,Xi-13-G1-193,16,12,0103000020110F000001000000050000009A99D97DACE761C10000007A75E667419A99D97DACE761C16666E63389B46641A4703D86401963C16666E63389B46641A4703D86401963C10000007A75E667419A99D97DACE761C10000007A75E66741,Xi-13
2002,4,Xi,G1,194,Xi-13-G1-194,17,12,0103000020110F000001000000050000009A99D97DACE761C16666E63389B466419A99D97DACE761C10000007A75E6674190C2757518B660C10000007A75E6674190C2757518B660C16666E63389B466419A99D97DACE761C16666E63389B46641,Xi-13
2003,4,Xi,G2,195,Xi-13-G2-195,18,12,0103000020110F000001000000050000000BD723DA08095FC10000007A75E667410BD723DA08095FC16666E63389B4664190C2757518B660C16666E63389B4664190C2757518B660C10000007A75E667410BD723DA08095FC10000007A75E66741,Xi-13
2004,4,Xi,G2,196,Xi-13-G2-196,19,12,0103000020110F000001000000050000000BD723DA08095FC16666E63389B466410BD723DA08095FC10000007A75E66741F6285CC9E0A55CC10000007A75E66741F6285CC9E0A55CC16666E63389B466410BD723DA08095FC16666E63389B46641,Xi-13
2005,4,Xi,G3,197,Xi-14-G3-197,20,12,0103000020110F00000100000005000000E27A94B8B8425AC10000007A75E66741E27A94B8B8425AC16666E63389B46641F6285CC9E0A55CC16666E63389B46641F6285CC9E0A55CC10000007A75E66741E27A94B8B8425AC10000007A75E66741,Xi-14
2006,4,Xi,G3,198,Xi-14-G3-198,21,12,0103000020110F00000100000005000000E27A94B8B8425AC16666E63389B46641E27A94B8B8425AC10000007A75E66741CDCCCCA790DF57C10000007A75E66741CDCCCCA790DF57C16666E63389B46641E27A94B8B8425AC16666E63389B46641,Xi-14
2007,4,Xi,G4,199,Xi-14-G4-199,22,12,0103000020110F00000100000005000000B81E0597687C55C10000007A75E66741B81E0597687C55C16666E63389B46641CDCCCCA790DF57C16666E63389B46641CDCCCCA790DF57C10000007A75E66741B81E0597687C55C10000007A75E66741,Xi-14
2008,4,Xi,G4,200,Xi-14-G4-200,23,12,0103000020110F00000100000005000000B81E0597687C55C16666E63389B46641B81E0597687C55C10000007A75E66741A4703D86401953C10000007A75E66741A4703D86401953C16666E63389B46641B81E0597687C55C16666E63389B46641,Xi-14
2009,4,Xi,G5,201,Xi-15-G5-201,24,12,0103000020110F0000010000000500000090C2757518B650C10000007A75E6674190C2757518B650C16666E63389B46641A4703D86401953C16666E63389B46641A4703D86401953C10000007A75E6674190C2757518B650C10000007A75E66741,Xi-15
2010,4,Xi,G5,202,Xi-15-G5-202,25,12,0103000020110F0000010000000500000090C2757518B650C16666E63389B4664190C2757518B650C10000007A75E66741F6285CC9E0A54CC10000007A75E66741F6285CC9E0A54CC16666E63389B4664190C2757518B650C16666E63389B46641,Xi-15
2011,4,Xi,G6,203,Xi-15-G6-203,26,12,0103000020110F00000100000005000000CDCCCCA790DF47C10000007A75E66741CDCCCCA790DF47C16666E63389B46641F6285CC9E0A54CC16666E63389B46641F6285CC9E0A54CC10000007A75E66741CDCCCCA790DF47C10000007A75E66741,Xi-15
2012,4,Xi,G6,204,Xi-15-G6-204,27,12,0103000020110F00000100000005000000CDCCCCA790DF47C16666E63389B46641CDCCCCA790DF47C10000007A75E66741A4703D86401943C10000007A75E66741A4703D86401943C16666E63389B46641CDCCCCA790DF47C16666E63389B46641,Xi-15
2013,4,Xi,G7,205,Xi-16-G7-205,28,12,0103000020110F00000100000005000000F6285CC9E0A53CC10000007A75E66741F6285CC9E0A53CC16666E63389B46641A4703D86401943C16666E63389B46641A4703D86401943C10000007A75E66741F6285CC9E0A53CC10000007A75E66741,Xi-16
2014,4,Xi,G7,206,Xi-16-G7-206,29,12,0103000020110F00000100000005000000F6285CC9E0A53CC16666E63389B46641F6285CC9E0A53CC10000007A75E66741A4703D86401933C10000007A75E66741A4703D86401933C16666E63389B46641F6285CC9E0A53CC16666E63389B46641,Xi-16
2015,4,Xi,G8,207,Xi-16-G8-207,30,12,0103000020110F00000100000005000000A4703D86401923C10000007A75E66741A4703D86401923C16666E63389B46641A4703D86401933C16666E63389B46641A4703D86401933C10000007A75E66741A4703D86401923C10000007A75E66741,Xi-16
2030,4,Xi,G7,222,Xi-16-G7-222,29,13,0103000020110F00000100000005000000F6285CC9E0A53CC16666E63389B46641A4703D86401933C16666E63389B46641A4703D86401933C1CDCCCCED9C826541F6285CC9E0A53CC1CDCCCCED9C826541F6285CC9E0A53CC16666E63389B46641,Xi-16
2,1,Epsilon,,,Epsilon,,,0103000020110F00000100000005000000A4703D86401973419A999961C41E6341A4703D86401973410000000000000000A4703D86401963410000000000000000A4703D86401963419A999961C41E6341A4703D86401973419A999961C41E6341,
3,1,Zeta,,,Zeta,,,0103000020110F00000100000005000000A4703D86401963410000000000000000A4703D86401973410000000000000000A4703D86401973419A999961C41E63C1A4703D86401963419A999961C41E63C1A4703D86401963410000000000000000,
4648,4,Gamma,A4,24,Gamma-2-A4-24,23,17,0103000020110F00000100000005000000B81E0597687C55C10000801BD8EC6141A4703D86401953C10000801BD8EC6141A4703D86401953C1676666D5EBBA6041B81E0597687C55C1676666D5EBBA6041B81E0597687C55C10000801BD8EC6141,Gamma-2
4649,4,Gamma,A5,25,Gamma-3-A5-25,24,17,0103000020110F0000010000000500000090C2757518B650C10000801BD8EC614190C2757518B650C1676666D5EBBA6041A4703D86401953C1676666D5EBBA6041A4703D86401953C10000801BD8EC614190C2757518B650C10000801BD8EC6141,Gamma-3
4650,4,Gamma,A5,26,Gamma-3-A5-26,25,17,0103000020110F0000010000000500000090C2757518B650C10000801BD8EC6141F6285CC9E0A54CC10000801BD8EC6141F6285CC9E0A54CC1676666D5EBBA604190C2757518B650C1676666D5EBBA604190C2757518B650C10000801BD8EC6141,Gamma-3
4651,4,Gamma,A6,27,Gamma-3-A6-27,26,17,0103000020110F00000100000005000000CDCCCCA790DF47C10000801BD8EC6141CDCCCCA790DF47C1676666D5EBBA6041F6285CC9E0A54CC1676666D5EBBA6041F6285CC9E0A54CC10000801BD8EC6141CDCCCCA790DF47C10000801BD8EC6141,Gamma-3
4652,4,Gamma,A6,28,Gamma-3-A6-28,27,17,0103000020110F00000100000005000000CDCCCCA790DF47C10000801BD8EC6141A4703D86401943C10000801BD8EC6141A4703D86401943C1676666D5EBBA6041CDCCCCA790DF47C1676666D5EBBA6041CDCCCCA790DF47C10000801BD8EC6141,Gamma-3
4653,4,Gamma,A7,29,Gamma-4-A7-29,28,17,0103000020110F00000100000005000000F6285CC9E0A53CC10000801BD8EC6141F6285CC9E0A53CC1676666D5EBBA6041A4703D86401943C1676666D5EBBA6041A4703D86401943C10000801BD8EC6141F6285CC9E0A53CC10000801BD8EC6141,Gamma-4
4654,4,Gamma,A7,30,Gamma-4-A7-30,29,17,0103000020110F00000100000005000000F6285CC9E0A53CC10000801BD8EC6141A4703D86401933C10000801BD8EC6141A4703D86401933C1676666D5EBBA6041F6285CC9E0A53CC1676666D5EBBA6041F6285CC9E0A53CC10000801BD8EC6141,Gamma-4
4655,4,Gamma,A8,31,Gamma-4-A8-31,30,17,0103000020110F00000100000005000000A4703D86401923C10000801BD8EC6141A4703D86401923C1676666D5EBBA6041A4703D86401933C1676666D5EBBA6041A4703D86401933C10000801BD8EC6141A4703D86401923C10000801BD8EC6141,Gamma-4
4656,4,Gamma,A8,32,Gamma-4-A8-32,31,17,0103000020110F00000100000005000000A4703D86401923C10000801BD8EC614100000000000000000000801BD8EC61410000000000000000676666D5EBBA6041A4703D86401923C1676666D5EBBA6041A4703D86401923C10000801BD8EC6141,Gamma-4
4657,4,Gamma,B1,33,Gamma-1-B1-33,16,18,0103000020110F000001000000050000009A99D97DACE761C1676666D5EBBA60419A99D97DACE761C19A99991EFF115F41A4703D86401963C19A99991EFF115F41A4703D86401963C1676666D5EBBA60419A99D97DACE761C1676666D5EBBA6041,Gamma-1
4658,4,Gamma,B1,34,Gamma-1-B1-34,17,18,0103000020110F000001000000050000009A99D97DACE761C19A99991EFF115F419A99D97DACE761C1676666D5EBBA604190C2757518B660C1676666D5EBBA604190C2757518B660C19A99991EFF115F419A99D97DACE761C19A99991EFF115F41,Gamma-1
4659,4,Gamma,B2,35,Gamma-1-B2-35,18,18,0103000020110F0000010000000500000090C2757518B660C19A99991EFF115F4190C2757518B660C1676666D5EBBA60410BD723DA08095FC1676666D5EBBA60410BD723DA08095FC19A99991EFF115F4190C2757518B660C19A99991EFF115F41,Gamma-1
4,1,Eta,,,Eta,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E63C1A4703D86401973419A999961C41E63C1A4703D86401973419A999961C41E73C1A4703D86401963419A999961C41E73C1A4703D86401963419A999961C41E63C1,
5,1,Omicron,,,Omicron,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E634100000000000000009A999961C41E634100000000000000009A999961C41E7341A4703D86401963419A999961C41E7341A4703D86401963419A999961C41E6341,
6,1,Delta,,,Delta,,,0103000020110F0000010000000500000000000000000000009A999961C41E6341A4703D86401963419A999961C41E6341A4703D864019634100000000000000000000000000000000000000000000000000000000000000009A999961C41E6341,
7,1,Alpha,,,Alpha,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E63C100000000000000009A999961C41E63C100000000000000000000000000000000A4703D86401963410000000000000000A4703D86401963419A999961C41E63C1,
3001,4,Kappa,F5,169,Kappa-11-F5-169,8,58,0103000020110F00000100000005000000EC51F8C04C746BC19B99991EFF116FC1EC51F8C04C746BC19A9959B2F52170C1F7285CC9E0A56CC19A9959B2F52170C1F7285CC9E0A56CC19B99991EFF116FC1EC51F8C04C746BC19B99991EFF116FC1,Kappa-11
3002,4,Kappa,F5,170,Kappa-11-F5-170,9,58,0103000020110F00000100000005000000EC51F8C04C746BC19A9959B2F52170C1EC51F8C04C746BC19B99991EFF116FC1E27A94B8B8426AC19B99991EFF116FC1E27A94B8B8426AC19A9959B2F52170C1EC51F8C04C746BC19A9959B2F52170C1,Kappa-11
8,1,Theta,,,Theta,,,0103000020110F0000010000000500000000000000000000009A999961C41E63C1A4703D86401963419A999961C41E63C1A4703D86401963419A999961C41E73C100000000000000009A999961C41E73C100000000000000009A999961C41E63C1,
9,1,Xi,,,Xi,,,0103000020110F0000010000000500000000000000000000009A999961C41E734100000000000000009A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C19A999961C41E734100000000000000009A999961C41E7341,
10,1,Gamma,,,Gamma,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E634100000000000000009A999961C41E634100000000000000000000000000000000A4703D86401963C10000000000000000A4703D86401963C19A999961C41E6341,
11,1,Beta,,,Beta,,,0103000020110F0000010000000500000000000000000000009A999961C41E63C1A4703D86401963C19A999961C41E63C1A4703D86401963C100000000000000000000000000000000000000000000000000000000000000009A999961C41E63C1,
12,1,Iota,,,Iota,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E63C100000000000000009A999961C41E63C100000000000000009A999961C41E73C1A4703D86401963C19A999961C41E73C1A4703D86401963C19A999961C41E63C1,
13,1,Nu,,,Nu,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E7341A4703D86401963C19A999961C41E6341A4703D86401973C19A999961C41E6341A4703D86401973C19A999961C41E7341A4703D86401963C19A999961C41E7341,
14,1,Mu,,,Mu,,,0103000020110F00000100000005000000A4703D86401963C10000000000000000A4703D86401973C10000000000000000A4703D86401973C19A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C10000000000000000,
15,1,Lambda,,,Lambda,,,0103000020110F00000100000005000000A4703D86401973C10000000000000000A4703D86401963C10000000000000000A4703D86401963C19A999961C41E63C1A4703D86401973C19A999961C41E63C1A4703D86401973C10000000000000000,
16,1,Kappa,,,Kappa,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E73C1A4703D86401973C19A999961C41E73C1A4703D86401973C19A999961C41E63C1A4703D86401963C19A999961C41E63C1A4703D86401963C19A999961C41E73C1,
17,2,Pi,,,Pi-1,,,0103000020110F00000100000005000000CDCCCCA790DF67419A999961C41E7341CDCCCCA790DF6741666666D5EBBA7041A4703D8640196341666666D5EBBA7041A4703D86401963419A999961C41E7341CDCCCCA790DF67419A999961C41E7341,Pi-1
4001,4,Zeta,E1,145,Zeta-9-E1-145,48,41,0103000020110F00000100000005000000AE47A18ED44A6441CDCCCCED9C8255C1AE47A18ED44A64410000007A75E657C1A4703D86401963410000007A75E657C1A4703D8640196341CDCCCCED9C8255C1AE47A18ED44A6441CDCCCCED9C8255C1,Zeta-9
4002,4,Zeta,E1,146,Zeta-9-E1-146,49,41,0103000020110F00000100000005000000AE47A18ED44A6441CDCCCCED9C8255C1B81E0597687C6541CDCCCCED9C8255C1B81E0597687C65410000007A75E657C1AE47A18ED44A64410000007A75E657C1AE47A18ED44A6441CDCCCCED9C8255C1,Zeta-9
4003,4,Zeta,E2,147,Zeta-9-E2-147,50,41,0103000020110F00000100000005000000C2F5689FFCAD6641CDCCCCED9C8255C1C2F5689FFCAD66410000007A75E657C1B81E0597687C65410000007A75E657C1B81E0597687C6541CDCCCCED9C8255C1C2F5689FFCAD6641CDCCCCED9C8255C1,Zeta-9
4004,4,Zeta,E2,148,Zeta-9-E2-148,51,41,0103000020110F00000100000005000000C2F5689FFCAD6641CDCCCCED9C8255C1CDCCCCA790DF6741CDCCCCED9C8255C1CDCCCCA790DF67410000007A75E657C1C2F5689FFCAD66410000007A75E657C1C2F5689FFCAD6641CDCCCCED9C8255C1,Zeta-9
4005,4,Zeta,E3,149,Zeta-10-E3-149,52,41,0103000020110F00000100000005000000D8A330B024116941CDCCCCED9C8255C1D8A330B0241169410000007A75E657C1CDCCCCA790DF67410000007A75E657C1CDCCCCA790DF6741CDCCCCED9C8255C1D8A330B024116941CDCCCCED9C8255C1,Zeta-10
4006,4,Zeta,E3,150,Zeta-10-E3-150,53,41,0103000020110F00000100000005000000D8A330B024116941CDCCCCED9C8255C1E27A94B8B8426A41CDCCCCED9C8255C1E27A94B8B8426A410000007A75E657C1D8A330B0241169410000007A75E657C1D8A330B024116941CDCCCCED9C8255C1,Zeta-10
4011,4,Zeta,E6,155,Zeta-11-E6-155,58,41,0103000020110F000001000000050000000BD743714E1D7041CDCCCCED9C8255C10BD743714E1D70410000007A75E657C10BD723DA08096F410000007A75E657C10BD723DA08096F41CDCCCCED9C8255C10BD743714E1D7041CDCCCCED9C8255C1,Zeta-11
