id,gs_size,gs_size_scale,gs_size_halo,gs_fill_opacity,gs_rotation,gs_color,gs_color_halo,the_geom
73,0.6,1.2,7.1,0.7,0,#F9F3A4,F9F3A4,0101000020110F000052B81EDD48C86DC1C3F528BCA4FC5DC1
74,0.5,1.09,5,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000AE47E1DAA5CC5AC148E17A94E6F33241
75,0.2,1.14,6.2,0.7,0,#F9F3A4,F9F3A4,0101000020110F00008FC2F5A03B747041295C8F62C77155C1
76,1,1.12,10.8,0.7,0,#FEAA52,FEAA52,0101000020110F0000333333E37E0B65410AD7A390CF7744C1
77,0.5,1.07,4,0.4,0,#FA6642,FA6642,0101000020110F0000EC51B85EF21E3A415C8FC235C1726941
78,0.6,1.02,2.4,0.5,0,#666EFF,666EFF,0101000020110F000052B81EBD053C6EC114AE47894E0D6A41
79,0.1,1.15,3,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000000000E4442D704148E17AE438EE50C1
80,0.4,1,6.8,0.5,0,#FFFFFF,FFFFFF,0101000020110F00003D0AD7BBECBA65C1F6285CE7D9626741
81,0.9,1.12,2.9,0.4,0,#FA6642,FA6642,0101000020110F0000AE47E112564A604152B81EC5801847C1
82,1.1,1.09,2.7,0.5,0,#CBCDFE,CBCDFE,0101000020110F000085EB5148F3D355410AD7A33023B84E41
83,0.1,1.03,3,0.4,0,#FEAA52,FEAA52,0101000020110F0000E17A14AEAFEAF440CDCCCCCC94EF3DC1
84,0.9,1.07,8.7,0.4,0,#E6E6F7,E6E6F7,0101000020110F0000A4703DFAB8CE5E4133333343368D54C1
85,0.1,1.14,9.4,0.4,0,#FEAA52,FEAA52,0101000020110F000048E17A3490906EC13333331331E767C1
86,0.2,1.11,11.9,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000295C8F226DEE42411F85EBA171176241
87,1.1,1.01,4.2,0.7,0,#FFF464,FFF464,0101000020110F00003D0AD7CB873C66C15C8FC2D5741347C1
88,0.5,1.04,6.3,0.7,0,#F9F3A4,F9F3A4,0101000020110F0000CDCCCCF4C4F6614114AE47A17C5D5141
89,1.1,1.19,5.4,0.6,0,#E6E6F7,E6E6F7,0101000020110F00000AD7A3D896D66EC152B81E9155CE72C1
90,0.8,1.19,8.2,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000A4703D9ADDD96BC1D7A3703D13ED66C1
91,0.3,1.17,3.8,0.6,0,#FFF464,FFF464,0101000020110F0000B81E8503D34170C1A4703DDA4FBE60C1
92,0.2,1.08,2.9,0.5,0,#CBCDFE,CBCDFE,0101000020110F000052B81E3DDD486441E17A1426104269C1
93,0.4,1.01,6.5,0.5,0,#E6E6F7,E6E6F7,0101000020110F00007B14AE6FF2D763C152B81E5D76446C41
94,0.4,1.03,8.3,0.7,0,#CBCDFE,CBCDFE,0101000020110F000014AE4761E7CF3441C3F528ECBC026A41
95,0.7,1.1,2,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000F6285CBB40E07241666666D26BEA71C1
96,0.9,1.05,11,0.4,0,#FEAA52,FEAA52,0101000020110F000048E17A6C3FB56FC1F6285CFF9C4B5841
97,0.1,1.04,10.5,0.6,0,#FA6642,FA6642,0101000020110F00008FC2F5A815854AC1666666565ADF6D41
98,0.4,1.17,4.9,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000713D0AD7BF35F0C0F6285CEF8C3B5541
99,0.3,1.18,2.3,0.7,0,#FFFFFF,FFFFFF,0101000020110F000000000080EB9E24C10AD7A3D083A07141
100,0.9,1.19,11.1,0.6,0,#E6E6F7,E6E6F7,0101000020110F00000AD7A3A0A7CA7241E17A1496854F6F41
101,0.7,1.05,7.5,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000AE47E17A405AF5409A9999E963EF66C1
102,0.6,1.06,6.9,0.5,0,#CBCDFE,CBCDFE,0101000020110F000085EB5148916F72C152B81E55F3BE5641
103,1.1,1.02,5.5,0.4,0,#FEAA52,FEAA52,0101000020110F00005C8FC255B3E15941F6285C0FF7042141
104,0.8,1.01,8.4,0.7,0,#F9F6CF,F9F6CF,0101000020110F000085EB51C8132F59417B14AED7F6F26341
105,0.1,1.16,9.1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000E17A146ECE784DC1295C8FC284453041
106,0.3,1.05,2.5,0.5,0,#FFFFFF,FFFFFF,0101000020110F000085EB51783A224CC1C3F5282CB66F6CC1
107,0.1,1.13,4,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000713D0A87DA205DC1E17A140E089557C1
108,0.9,1.03,12,0.4,0,#FFFFFF,FFFFFF,0101000020110F000014AE4771A11056C1E17A144EFDA85AC1
109,0.5,1.13,11,0.7,0,#FEAA52,FEAA52,0101000020110F000085EB51589BED65C1C3F52824C01763C1
110,1.1,1.13,6.6,0.6,0,#FA6642,FA6642,0101000020110F0000333333FF19107241B81E85CBC9CC61C1
111,0.3,1.09,11,0.4,0,#8B96FF,8B96FF,0101000020110F00007B14AE172D5972C1A4703D62B3F76BC1
112,0.3,1.07,6.5,0.4,0,#CBCDFE,CBCDFE,0101000020110F00000AD7A3F025015F418FC2F51C2EDA71C1
113,0.5,1.1,10,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000CDCCCCBCE9925241AE47E1FA7E065741
114,0.4,1.03,11.5,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000D7A370652ECF66415C8FC285690C5041
115,0.8,1.1,8.6,0.4,0,#FEAA52,FEAA52,0101000020110F00001F85EB71B3485EC1F6285C57523A65C1
116,0.6,1,10,0.4,0,#8B96FF,8B96FF,0101000020110F0000CDCCCCCCFDD63CC1713D0A1784D34FC1
117,0.5,1.17,10.7,0.7,0,#8B96FF,8B96FF,0101000020110F00001F85EB415F175A41CDCCCC2C6A4E4741
118,1,1.15,9.4,0.7,0,#FFF464,FFF464,0101000020110F0000B81E85A3DCAB6BC1333333839EFC6141
119,0.6,1.1,3.8,0.4,0,#F9F3A4,F9F3A4,0101000020110F00008FC2F54CDCE170C152B81E15E2C165C1
120,0.5,1.17,4.8,0.4,0,#FFFFFF,FFFFFF,0101000020110F00007B14AEA729F860C148E17A9CEE9567C1
121,0.8,1.02,10.1,0.6,0,#FFF464,FFF464,0101000020110F00006666662A440473413D0AD74332747041
122,0.2,1.13,7.1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000713D0A9F2D876BC1F6285C7FCC4F62C1
123,0.8,1.12,3.6,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000CDCCCC2C92F549C17B14AE17AE206141
124,1,1.04,7.3,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000000000984434664166666666C3E42EC1
125,0.8,1.06,5.9,0.4,0,#CBCDFE,CBCDFE,0101000020110F0000CDCCCC0C1CAB3EC1333333F380E26DC1
126,0.3,1.15,8,0.5,0,#FFFFFF,FFFFFF,0101000020110F00009A9999B1327A68C18FC2F528ED7A47C1
127,0.1,1.12,8.1,0.5,0,#F9F3A4,F9F3A4,0101000020110F00008FC2F5A8005D32411F85EB515E9C01C1
128,0.7,1.13,5.8,0.5,0,#FFF464,FFF464,0101000020110F00005C8FC28D4C4D6EC152B81EE5C9DD7241
129,0.7,1.18,9.3,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000A4703DAA509E6641EC51B84E03D75041
130,1.1,1.19,10.2,0.7,0,#CBCDFE,CBCDFE,0101000020110F00003D0AD73310D66C418FC2F52826343541
131,0.6,1.11,7.8,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000D7A370D56B4171413D0AD7733CEC71C1
132,0.6,1.18,3.6,0.6,0,#FFFFFF,FFFFFF,0101000020110F000052B81E9DBDF16341B81E850BB9095FC1
133,0.7,1.19,8,0.6,0,#666EFF,666EFF,0101000020110F0000B81E85370A3872C1C3F5284CED846FC1
134,0.6,1.07,7.7,0.5,0,#CBCDFE,CBCDFE,0101000020110F000048E17AA0171C72417B14AEA743CD6C41
135,0.9,1.13,10.1,0.4,0,#FEAA52,FEAA52,0101000020110F000066666676C5ED6C4185EB51F0BF476F41
136,1,1.04,6.3,0.4,0,#FFFFFF,FFFFFF,0101000020110F00003D0AD7C709337141713D0AD7F5075DC1
137,0.1,1.11,9.6,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000333333B3405621C15C8FC29DB27B6DC1
138,0.5,1.15,5.3,0.6,0,#FA6642,FA6642,0101000020110F0000713D0A971F70444152B81E050D3E4F41
139,0.9,1.18,8.1,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000D7A370DDF2CD54C1AE47E11644587241
140,0.9,1.18,2.7,0.7,0,#FFFFFF,FFFFFF,0101000020110F000052B81E25EE6A57C18FC2F52861942C41
141,0.2,1.17,9.9,0.4,0,#FFFFFF,FFFFFF,0101000020110F00000AD7A36039836A4114AE47B1D1A858C1
142,0.8,1.16,10,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000D7A37015A6456C41295C8F024E5746C1
143,0.1,1.18,11.3,0.5,0,#F9F3A4,F9F3A4,0101000020110F0000C3F528740E0367411F85EB49810968C1
144,1.1,1.17,6.8,0.7,0,#E6E6F7,E6E6F7,0101000020110F0000AE47E12AE34769411F85EB210A0058C1
145,1,1.14,6.6,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000AE47E1BAE4A96E419A9999F99AC04841
146,0.4,1.2,2.2,0.4,0,#CBCDFE,CBCDFE,0101000020110F0000A4703D5A732B6CC152B81E857D8F6FC1
147,0.4,1.02,3,0.5,0,#666EFF,666EFF,0101000020110F00001F85EBA5EBC8724185EB512434637041
148,0.3,1.08,10.4,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000713D0A2712195E41295C8F22E0DD5CC1
149,0.2,1.07,2.5,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000F6285CE7D32770417B14AE7FC9B571C1
150,0.2,1.01,9.4,0.7,0,#FFFFFF,FFFFFF,0101000020110F000000000038A5AF6BC13D0AD72324F723C1
151,0.2,1.06,2.6,0.4,0,#FEAA52,FEAA52,0101000020110F0000CDCCCCAC53F263C1F6285C97220267C1
152,1.1,1.16,2.4,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000A4703D5A79AE6A41E17A14AE57641141
153,1,1.04,7.3,0.6,0,#FFF464,FFF464,0101000020110F0000333333C33E9C53C1EC51B8CE33BE58C1
154,0.9,1.12,6.8,0.4,0,#666EFF,666EFF,0101000020110F000052B81EA56F3B60C19A9999D92A4A52C1
155,0.9,1.07,4.6,0.4,0,#E6E6F7,E6E6F7,0101000020110F0000C3F528CC25025FC1A4703DCA09E03641
156,0.5,1.09,5,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000713D0A47706E5FC152B81E911BE872C1
157,0.2,1.05,4.3,0.4,0,#FFF464,FFF464,0101000020110F00009A9999B9B40F6A41713D0A4F51AA70C1
158,1,1.02,6.6,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000B81E858BC55F554114AE47D1AF6D5B41
159,0.7,1.14,7.4,0.5,0,#FA6642,FA6642,0101000020110F000033333323EFA4574152B81EA548724EC1
160,0.7,1.04,2.1,0.6,0,#666EFF,666EFF,0101000020110F0000E17A147E79A357C16666669E52E764C1
161,1,1.2,2.7,0.6,0,#F9F3A4,F9F3A4,0101000020110F0000000000C4251373C1A4703D0A24E412C1
162,0.8,1.02,9.9,0.6,0,#FEAA52,FEAA52,0101000020110F0000295C8FFA89196441D7A3703DAAA6E0C0
163,0.6,1.2,11.3,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000A4703DB2E4F771C1295C8F923C4F58C1
164,1.1,1.19,9.1,0.4,0,#666EFF,666EFF,0101000020110F00008FC2F5D03C1A6F418FC2F5788E786CC1
165,0.3,1.09,9.9,0.4,0,#FA6642,FA6642,0101000020110F00009A9999597E3B7141EC51B806C33B6A41
166,0.1,1.08,2.8,0.5,0,#FFFFFF,FFFFFF,0101000020110F00006666669605026341C3F528DC345860C1
167,0.2,1.05,9.7,0.7,0,#E6E6F7,E6E6F7,0101000020110F0000E17A14A66FAE6C410000008030E228C1
168,0.7,1.09,6.5,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000713D0A175DC661413D0AD78B169272C1
169,0.8,1.02,10.8,0.5,0,#666EFF,666EFF,0101000020110F000033333373E64C5D4166666666AAAC4841
170,0.2,1.01,6.4,0.4,0,#FA6642,FA6642,0101000020110F00005C8FC26DDA9C62C15C8FC22553EF5741
171,0.1,1.15,2.9,0.6,0,#F9F6CF,F9F6CF,0101000020110F0000666666E6E4F364411F85EBF9A9BE6AC1
172,1.1,1.02,2.9,0.4,0,#E6E6F7,E6E6F7,0101000020110F0000A4703D82FF4C60418FC2F53810386041
173,0.8,1.03,3,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000EC51B8DE2C516341000000F083205DC1
174,0.2,1.1,4.5,0.5,0,#CBCDFE,CBCDFE,0101000020110F00003D0AD763779065410AD7A3F0B3875F41
175,0.5,1.11,5.1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000D7A3705D921A58C1AE47E17A5E2671C1
176,0.5,1.14,2.1,0.7,0,#E6E6F7,E6E6F7,0101000020110F0000333333D390606D4100000020E6D54241
177,0.1,1.16,8.3,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000B81E853BC47B624148E17ABCD74D6F41
178,0.4,1.04,11.7,0.5,0,#FFFFFF,FFFFFF,0101000020110F000048E17A04EFE85AC17B14AED702D952C1
179,0.1,1.05,6.5,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000713D0AFFE0E762C10AD7A3E0776E68C1
180,0.6,1.19,3.9,0.5,0,#E6E6F7,E6E6F7,0101000020110F000085EB51E87C346941666666A68A3B5A41
181,0.7,1.19,7.9,0.5,0,#CBCDFE,CBCDFE,0101000020110F0000A4703D2A8A725EC1EC51B806988763C1
182,1,1.09,10.8,0.6,0,#FEAA52,FEAA52,0101000020110F0000AE47E1FA6E3E6E41B81E858B638A64C1
183,1,1.06,7.9,0.7,0,#FFFFFF,FFFFFF,0101000020110F000048E17A6461F65041EC51B84E8B1351C1
184,0.6,1.13,8.1,0.4,0,#FEAA52,FEAA52,0101000020110F00003D0AD7939154504100000078F0756B41
185,0.1,1.16,9.9,0.7,0,#FFF464,FFF464,0101000020110F000000000050B1C25341D7A3700D524B68C1
186,0.7,1.01,10.9,0.6,0,#8B96FF,8B96FF,0101000020110F0000A4703D0AA9743EC1C3F528781D877141
187,1.1,1.19,5.5,0.5,0,#FA6642,FA6642,0101000020110F0000295C8F7A2CD36AC1EC51B892A4597141
188,0.4,1.17,2.8,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000295C8F429BC370C1B81E859B23C665C1
189,0.4,1.17,6.6,0.7,0,#8B96FF,8B96FF,0101000020110F0000666666A6291A6F418FC2F58024B270C1
190,1.1,1.13,9.5,0.4,0,#FA6642,FA6642,0101000020110F0000666666FE4B70704152B81E0584F04C41
191,1,1.19,9.1,0.6,0,#F9F6CF,F9F6CF,0101000020110F0000333333B366084DC1F6285C1FA8FC5A41
192,1.1,1.18,8.9,0.7,0,#FFFFFF,FFFFFF,0101000020110F000014AE4761C7AA52C1713D0AC703036FC1
193,0.3,1.1,7,0.6,0,#E6E6F7,E6E6F7,0101000020110F0000C3F5288C22935041AE47E15AFF9B6241
194,0.1,1.12,6.5,0.7,0,#FFFFFF,FFFFFF,0101000020110F000014AE47696AA664C1B81E85EB945544C1
195,0.2,1.09,5.6,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000CDCCCC1474C460C10AD7A3B01EDA5341
196,1,1.18,3.7,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000B81E858B39767241E17A143ED1746641
197,0.1,1.02,8.9,0.6,0,#F9F6CF,F9F6CF,0101000020110F0000A4703DFA052E52C13333336344BF5E41
198,0.1,1.04,5.5,0.5,0,#CBCDFE,CBCDFE,0101000020110F00003D0AD707AD0B714185EB514852C75741
199,0.2,1.13,9,0.5,0,#CBCDFE,CBCDFE,0101000020110F00008FC2F5B8BE4D5041C3F52890F6537041
200,1,1.19,11.5,0.4,0,#FA6642,FA6642,0101000020110F0000D7A3702D759F51C114AE47C9049B7141
201,0.6,1.02,7.7,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000B81E850B0F3354C1E17A14AE99443541
202,1,1.19,2.6,0.5,0,#CBCDFE,CBCDFE,0101000020110F0000E17A1426A7CA6741AE47E13A98836041
203,1.1,1.18,10.6,0.4,0,#FFFFFF,FFFFFF,0101000020110F000014AE47B119C06041295C8F12E3C45341
204,0.6,1.08,5.2,0.7,0,#FFF464,FFF464,0101000020110F0000713D0A679DA56BC1E17A1456C34D6EC1
205,0.2,1.08,11.6,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000AE47E1FA02DC6841CDCCCCCC9DD95441
206,0.8,1.01,7.3,0.4,0,#8B96FF,8B96FF,0101000020110F00009A99998991E4564152B81E352E8A6241
207,1,1.06,11.7,0.5,0,#FFFFFF,FFFFFF,0101000020110F00005C8FC2F5741A12C1713D0A0769AA71C1
208,1,1.15,4.6,0.7,0,#FA6642,FA6642,0101000020110F000052B81EED0E3661C11F85EB498D197341
209,0.9,1.2,2,0.4,0,#FFFFFF,FFFFFF,0101000020110F00003D0AD763C26844C10AD7A3B41E5B7241
210,0.3,1,7.7,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000CDCCCC2C15B142416666666696784141
211,1,1.03,2.6,0.6,0,#F9F6CF,F9F6CF,0101000020110F0000E17A142E49483B41F6285C3776F16441
212,0.4,1.09,11.5,0.5,0,#E6E6F7,E6E6F7,0101000020110F0000F6285C1798076541713D0A23090E70C1
213,0.7,1.11,10.6,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000A4703DDA4F3F61418FC2F52834527141
214,0.9,1.01,9.4,0.4,0,#CBCDFE,CBCDFE,0101000020110F000014AE47F1B71660C148E17A0C2EA27041
215,0.7,1.18,11.2,0.5,0,#F9F6CF,F9F6CF,0101000020110F0000EC51B8BE85E971C133333387EE8971C1
216,0.5,1.15,10.6,0.5,0,#FEAA52,FEAA52,0101000020110F0000B81E856B0C596E419A9999A9134A6EC1
217,1,1.2,3.7,0.5,0,#FFF464,FFF464,0101000020110F00005C8FC2750DC768C152B81E357E0753C1
218,0.8,1.16,8.9,0.6,0,#CBCDFE,CBCDFE,0101000020110F000000000040E88C6541A4703D3A488E5641
219,0.5,1.14,11,0.6,0,#E6E6F7,E6E6F7,0101000020110F000085EB51C84FEB5841E17A145E4ACA5541
220,0.8,1.13,10,0.4,0,#666EFF,666EFF,0101000020110F0000EC51B8FE364640410AD7A3908C434D41
