id,zoom,quadrant,sector,sub_sector,name,x,y,the_geom
17,2,Pi,1,,Pi-1,,,0103000020110F00000100000005000000CDCCCCA790DF67419A999961C41E7341CDCCCCA790DF6741666666D5EBBA7041A4703D8640196341666666D5EBBA7041A4703D86401963419A999961C41E7341CDCCCCA790DF67419A999961C41E7341
18,2,Pi,2,,Pi-2,,,0103000020110F00000100000005000000F6285CC9E0A56C419A999961C41E7341F6285CC9E0A56C41666666D5EBBA7041CDCCCCA790DF6741666666D5EBBA7041CDCCCCA790DF67419A999961C41E7341F6285CC9E0A56C419A999961C41E7341
19,2,Pi,3,,Pi-3,,,0103000020110F0000010000000500000090C2757518B670419A999961C41E734190C2757518B67041666666D5EBBA7041F6285CC9E0A56C41666666D5EBBA7041F6285CC9E0A56C419A999961C41E734190C2757518B670419A999961C41E7341
20,2,Pi,4,,Pi-4,,,0103000020110F00000100000005000000A4703D8640197341666666D5EBBA704190C2757518B67041666666D5EBBA704190C2757518B670419A999961C41E7341A4703D86401973419A999961C41E7341A4703D8640197341666666D5EBBA7041
21,2,Pi,5,,Pi-5,,,0103000020110F00000100000005000000CDCCCCA790DF6741666666D5EBBA7041CDCCCCA790DF67416666669226AE6C41A4703D86401963416666669226AE6C41A4703D8640196341666666D5EBBA7041CDCCCCA790DF6741666666D5EBBA7041
22,2,Pi,6,,Pi-6,,,0103000020110F00000100000005000000F6285CC9E0A56C41666666D5EBBA7041F6285CC9E0A56C416666669226AE6C41CDCCCCA790DF67416666669226AE6C41CDCCCCA790DF6741666666D5EBBA7041F6285CC9E0A56C41666666D5EBBA7041
23,2,Pi,7,,Pi-7,,,0103000020110F0000010000000500000090C2757518B67041666666D5EBBA704190C2757518B670416666669226AE6C41F6285CC9E0A56C416666669226AE6C41F6285CC9E0A56C41666666D5EBBA704190C2757518B67041666666D5EBBA7041
24,2,Pi,8,,Pi-8,,,0103000020110F0000010000000500000090C2757518B670416666669226AE6C4190C2757518B67041666666D5EBBA7041A4703D8640197341666666D5EBBA7041A4703D86401973416666669226AE6C4190C2757518B670416666669226AE6C41
25,2,Pi,9,,Pi-9,,,0103000020110F00000100000005000000CDCCCCA790DF67416666669226AE6C41CDCCCCA790DF67410000007A75E66741A4703D86401963410000007A75E66741A4703D86401963416666669226AE6C41CDCCCCA790DF67416666669226AE6C41
26,2,Pi,10,,Pi-10,,,0103000020110F00000100000005000000F6285CC9E0A56C416666669226AE6C41F6285CC9E0A56C410000007A75E66741CDCCCCA790DF67410000007A75E66741CDCCCCA790DF67416666669226AE6C41F6285CC9E0A56C416666669226AE6C41
27,2,Pi,11,,Pi-11,,,0103000020110F0000010000000500000090C2757518B670416666669226AE6C4190C2757518B670410000007A75E66741F6285CC9E0A56C410000007A75E66741F6285CC9E0A56C416666669226AE6C4190C2757518B670416666669226AE6C41
28,2,Pi,12,,Pi-12,,,0103000020110F0000010000000500000090C2757518B670410000007A75E6674190C2757518B670416666669226AE6C41A4703D86401973416666669226AE6C41A4703D86401973410000007A75E6674190C2757518B670410000007A75E66741
29,2,Pi,13,,Pi-13,,,0103000020110F00000100000005000000CDCCCCA790DF67410000007A75E66741CDCCCCA790DF67419A999961C41E6341A4703D86401963419A999961C41E6341A4703D86401963410000007A75E66741CDCCCCA790DF67410000007A75E66741
30,2,Pi,14,,Pi-14,,,0103000020110F00000100000005000000F6285CC9E0A56C410000007A75E66741F6285CC9E0A56C419A999961C41E6341CDCCCCA790DF67419A999961C41E6341CDCCCCA790DF67410000007A75E66741F6285CC9E0A56C410000007A75E66741
31,2,Pi,15,,Pi-15,,,0103000020110F0000010000000500000090C2757518B670410000007A75E6674190C2757518B670419A999961C41E6341F6285CC9E0A56C419A999961C41E6341F6285CC9E0A56C410000007A75E6674190C2757518B670410000007A75E66741
32,2,Pi,16,,Pi-16,,,0103000020110F0000010000000500000090C2757518B670410000007A75E66741A4703D86401973410000007A75E66741A4703D86401973419A999961C41E634190C2757518B670419A999961C41E634190C2757518B670410000007A75E66741
33,2,Omicron,1,,Omicron-1,,,0103000020110F00000100000005000000A4703D86401943419A999961C41E7341A4703D8640194341666666D5EBBA70410000000000000000666666D5EBBA704100000000000000009A999961C41E7341A4703D86401943419A999961C41E7341
34,2,Omicron,2,,Omicron-2,,,0103000020110F00000100000005000000A4703D86401953419A999961C41E7341A4703D8640195341666666D5EBBA7041A4703D8640194341666666D5EBBA7041A4703D86401943419A999961C41E7341A4703D86401953419A999961C41E7341
35,2,Omicron,3,,Omicron-3,,,0103000020110F00000100000005000000F6285CC9E0A55C419A999961C41E7341F6285CC9E0A55C41666666D5EBBA7041A4703D8640195341666666D5EBBA7041A4703D86401953419A999961C41E7341F6285CC9E0A55C419A999961C41E7341
36,2,Omicron,4,,Omicron-4,,,0103000020110F00000100000005000000A4703D8640196341666666D5EBBA7041F6285CC9E0A55C41666666D5EBBA7041F6285CC9E0A55C419A999961C41E7341A4703D86401963419A999961C41E7341A4703D8640196341666666D5EBBA7041
37,2,Omicron,5,,Omicron-5,,,0103000020110F00000100000005000000A4703D8640194341666666D5EBBA7041A4703D86401943416666669226AE6C4100000000000000006666669226AE6C410000000000000000666666D5EBBA7041A4703D8640194341666666D5EBBA7041
38,2,Omicron,6,,Omicron-6,,,0103000020110F00000100000005000000A4703D8640195341666666D5EBBA7041A4703D86401953416666669226AE6C41A4703D86401943416666669226AE6C41A4703D8640194341666666D5EBBA7041A4703D8640195341666666D5EBBA7041
39,2,Omicron,7,,Omicron-7,,,0103000020110F00000100000005000000F6285CC9E0A55C41666666D5EBBA7041F6285CC9E0A55C416666669226AE6C41A4703D86401953416666669226AE6C41A4703D8640195341666666D5EBBA7041F6285CC9E0A55C41666666D5EBBA7041
40,2,Omicron,8,,Omicron-8,,,0103000020110F00000100000005000000F6285CC9E0A55C416666669226AE6C41F6285CC9E0A55C41666666D5EBBA7041A4703D8640196341666666D5EBBA7041A4703D86401963416666669226AE6C41F6285CC9E0A55C416666669226AE6C41
41,2,Omicron,9,,Omicron-9,,,0103000020110F00000100000005000000A4703D86401943416666669226AE6C41A4703D86401943410000007A75E6674100000000000000000000007A75E6674100000000000000006666669226AE6C41A4703D86401943416666669226AE6C41
42,2,Omicron,10,,Omicron-10,,,0103000020110F00000100000005000000A4703D86401953416666669226AE6C41A4703D86401953410000007A75E66741A4703D86401943410000007A75E66741A4703D86401943416666669226AE6C41A4703D86401953416666669226AE6C41
43,2,Omicron,11,,Omicron-11,,,0103000020110F00000100000005000000F6285CC9E0A55C416666669226AE6C41F6285CC9E0A55C410000007A75E66741A4703D86401953410000007A75E66741A4703D86401953416666669226AE6C41F6285CC9E0A55C416666669226AE6C41
44,2,Omicron,12,,Omicron-12,,,0103000020110F00000100000005000000F6285CC9E0A55C410000007A75E66741F6285CC9E0A55C416666669226AE6C41A4703D86401963416666669226AE6C41A4703D86401963410000007A75E66741F6285CC9E0A55C410000007A75E66741
45,2,Omicron,13,,Omicron-13,,,0103000020110F00000100000005000000A4703D86401943410000007A75E66741A4703D86401943419A999961C41E634100000000000000009A999961C41E634100000000000000000000007A75E66741A4703D86401943410000007A75E66741
46,2,Omicron,14,,Omicron-14,,,0103000020110F00000100000005000000A4703D86401953410000007A75E66741A4703D86401953419A999961C41E6341A4703D86401943419A999961C41E6341A4703D86401943410000007A75E66741A4703D86401953410000007A75E66741
47,2,Omicron,15,,Omicron-15,,,0103000020110F00000100000005000000F6285CC9E0A55C410000007A75E66741F6285CC9E0A55C419A999961C41E6341A4703D86401953419A999961C41E6341A4703D86401953410000007A75E66741F6285CC9E0A55C410000007A75E66741
48,2,Omicron,16,,Omicron-16,,,0103000020110F00000100000005000000F6285CC9E0A55C410000007A75E66741A4703D86401963410000007A75E66741A4703D86401963419A999961C41E6341F6285CC9E0A55C419A999961C41E6341F6285CC9E0A55C410000007A75E66741
49,2,Xi,1,,Xi-1,,,0103000020110F00000100000005000000F6285CC9E0A55CC19A999961C41E7341F6285CC9E0A55CC1666666D5EBBA7041A4703D86401963C1666666D5EBBA7041A4703D86401963C19A999961C41E7341F6285CC9E0A55CC19A999961C41E7341
50,2,Xi,2,,Xi-2,,,0103000020110F00000100000005000000A4703D86401953C19A999961C41E7341A4703D86401953C1666666D5EBBA7041F6285CC9E0A55CC1666666D5EBBA7041F6285CC9E0A55CC19A999961C41E7341A4703D86401953C19A999961C41E7341
51,2,Xi,3,,Xi-3,,,0103000020110F00000100000005000000A4703D86401943C19A999961C41E7341A4703D86401943C1666666D5EBBA7041A4703D86401953C1666666D5EBBA7041A4703D86401953C19A999961C41E7341A4703D86401943C19A999961C41E7341
52,2,Xi,4,,Xi-4,,,0103000020110F000001000000050000000000000000000000666666D5EBBA7041A4703D86401943C1666666D5EBBA7041A4703D86401943C19A999961C41E734100000000000000009A999961C41E73410000000000000000666666D5EBBA7041
53,2,Xi,5,,Xi-5,,,0103000020110F00000100000005000000F6285CC9E0A55CC1666666D5EBBA7041F6285CC9E0A55CC16666669226AE6C41A4703D86401963C16666669226AE6C41A4703D86401963C1666666D5EBBA7041F6285CC9E0A55CC1666666D5EBBA7041
54,2,Xi,6,,Xi-6,,,0103000020110F00000100000005000000A4703D86401953C1666666D5EBBA7041A4703D86401953C16666669226AE6C41F6285CC9E0A55CC16666669226AE6C41F6285CC9E0A55CC1666666D5EBBA7041A4703D86401953C1666666D5EBBA7041
55,2,Xi,7,,Xi-7,,,0103000020110F00000100000005000000A4703D86401943C1666666D5EBBA7041A4703D86401943C16666669226AE6C41A4703D86401953C16666669226AE6C41A4703D86401953C1666666D5EBBA7041A4703D86401943C1666666D5EBBA7041
56,2,Xi,8,,Xi-8,,,0103000020110F00000100000005000000A4703D86401943C16666669226AE6C41A4703D86401943C1666666D5EBBA70410000000000000000666666D5EBBA704100000000000000006666669226AE6C41A4703D86401943C16666669226AE6C41
57,2,Xi,9,,Xi-9,,,0103000020110F00000100000005000000F6285CC9E0A55CC16666669226AE6C41F6285CC9E0A55CC10000007A75E66741A4703D86401963C10000007A75E66741A4703D86401963C16666669226AE6C41F6285CC9E0A55CC16666669226AE6C41
58,2,Xi,10,,Xi-10,,,0103000020110F00000100000005000000A4703D86401953C16666669226AE6C41A4703D86401953C10000007A75E66741F6285CC9E0A55CC10000007A75E66741F6285CC9E0A55CC16666669226AE6C41A4703D86401953C16666669226AE6C41
59,2,Xi,11,,Xi-11,,,0103000020110F00000100000005000000A4703D86401943C16666669226AE6C41A4703D86401943C10000007A75E66741A4703D86401953C10000007A75E66741A4703D86401953C16666669226AE6C41A4703D86401943C16666669226AE6C41
60,2,Xi,12,,Xi-12,,,0103000020110F00000100000005000000A4703D86401943C10000007A75E66741A4703D86401943C16666669226AE6C4100000000000000006666669226AE6C4100000000000000000000007A75E66741A4703D86401943C10000007A75E66741
61,2,Xi,13,,Xi-13,,,0103000020110F00000100000005000000F6285CC9E0A55CC10000007A75E66741F6285CC9E0A55CC19A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C10000007A75E66741F6285CC9E0A55CC10000007A75E66741
62,2,Xi,14,,Xi-14,,,0103000020110F00000100000005000000A4703D86401953C10000007A75E66741A4703D86401953C19A999961C41E6341F6285CC9E0A55CC19A999961C41E6341F6285CC9E0A55CC10000007A75E66741A4703D86401953C10000007A75E66741
63,2,Xi,15,,Xi-15,,,0103000020110F00000100000005000000A4703D86401943C10000007A75E66741A4703D86401943C19A999961C41E6341A4703D86401953C19A999961C41E6341A4703D86401953C10000007A75E66741A4703D86401943C10000007A75E66741
64,2,Xi,16,,Xi-16,,,0103000020110F00000100000005000000A4703D86401943C10000007A75E6674100000000000000000000007A75E6674100000000000000009A999961C41E6341A4703D86401943C19A999961C41E6341A4703D86401943C10000007A75E66741
65,2,Nu,1,,Nu-1,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E734190C2757518B670C1666666D5EBBA7041A4703D86401973C1666666D5EBBA7041A4703D86401973C19A999961C41E734190C2757518B670C19A999961C41E7341
66,2,Nu,2,,Nu-2,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E7341F7285CC9E0A56CC1666666D5EBBA704190C2757518B670C1666666D5EBBA704190C2757518B670C19A999961C41E7341F7285CC9E0A56CC19A999961C41E7341
67,2,Nu,3,,Nu-3,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E7341CECCCCA790DF67C1666666D5EBBA7041F7285CC9E0A56CC1666666D5EBBA7041F7285CC9E0A56CC19A999961C41E7341CECCCCA790DF67C19A999961C41E7341
68,2,Nu,4,,Nu-4,,,0103000020110F00000100000005000000A4703D86401963C1666666D5EBBA7041CECCCCA790DF67C1666666D5EBBA7041CECCCCA790DF67C19A999961C41E7341A4703D86401963C19A999961C41E7341A4703D86401963C1666666D5EBBA7041
69,2,Nu,5,,Nu-5,,,0103000020110F0000010000000500000090C2757518B670C1666666D5EBBA704190C2757518B670C16666669226AE6C41A4703D86401973C16666669226AE6C41A4703D86401973C1666666D5EBBA704190C2757518B670C1666666D5EBBA7041
70,2,Nu,6,,Nu-6,,,0103000020110F00000100000005000000F7285CC9E0A56CC1666666D5EBBA7041F7285CC9E0A56CC16666669226AE6C4190C2757518B670C16666669226AE6C4190C2757518B670C1666666D5EBBA7041F7285CC9E0A56CC1666666D5EBBA7041
71,2,Nu,7,,Nu-7,,,0103000020110F00000100000005000000F7285CC9E0A56CC16666669226AE6C41F7285CC9E0A56CC1666666D5EBBA7041CECCCCA790DF67C1666666D5EBBA7041CECCCCA790DF67C16666669226AE6C41F7285CC9E0A56CC16666669226AE6C41
72,2,Nu,8,,Nu-8,,,0103000020110F00000100000005000000CECCCCA790DF67C16666669226AE6C41CECCCCA790DF67C1666666D5EBBA7041A4703D86401963C1666666D5EBBA7041A4703D86401963C16666669226AE6C41CECCCCA790DF67C16666669226AE6C41
73,2,Nu,9,,Nu-9,,,0103000020110F0000010000000500000090C2757518B670C16666669226AE6C4190C2757518B670C10000007A75E66741A4703D86401973C10000007A75E66741A4703D86401973C16666669226AE6C4190C2757518B670C16666669226AE6C41
74,2,Nu,10,,Nu-10,,,0103000020110F00000100000005000000F7285CC9E0A56CC16666669226AE6C41F7285CC9E0A56CC10000007A75E6674190C2757518B670C10000007A75E6674190C2757518B670C16666669226AE6C41F7285CC9E0A56CC16666669226AE6C41
75,2,Nu,11,,Nu-11,,,0103000020110F00000100000005000000F7285CC9E0A56CC10000007A75E66741F7285CC9E0A56CC16666669226AE6C41CECCCCA790DF67C16666669226AE6C41CECCCCA790DF67C10000007A75E66741F7285CC9E0A56CC10000007A75E66741
76,2,Nu,12,,Nu-12,,,0103000020110F00000100000005000000CECCCCA790DF67C10000007A75E66741CECCCCA790DF67C16666669226AE6C41A4703D86401963C16666669226AE6C41A4703D86401963C10000007A75E66741CECCCCA790DF67C10000007A75E66741
77,2,Nu,13,,Nu-13,,,0103000020110F0000010000000500000090C2757518B670C10000007A75E6674190C2757518B670C19A999961C41E6341A4703D86401973C19A999961C41E6341A4703D86401973C10000007A75E6674190C2757518B670C10000007A75E66741
78,2,Nu,14,,Nu-14,,,0103000020110F00000100000005000000F7285CC9E0A56CC10000007A75E66741F7285CC9E0A56CC19A999961C41E634190C2757518B670C19A999961C41E634190C2757518B670C10000007A75E66741F7285CC9E0A56CC10000007A75E66741
79,2,Nu,15,,Nu-15,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E6341F7285CC9E0A56CC19A999961C41E6341F7285CC9E0A56CC10000007A75E66741CECCCCA790DF67C10000007A75E66741CECCCCA790DF67C19A999961C41E6341
80,2,Nu,16,,Nu-16,,,0103000020110F00000100000005000000CECCCCA790DF67C10000007A75E66741A4703D86401963C10000007A75E66741A4703D86401963C19A999961C41E6341CECCCCA790DF67C19A999961C41E6341CECCCCA790DF67C10000007A75E66741
81,2,Mu,1,,Mu-1,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E634190C2757518B670C16766669226AE5C41A4703D86401973C16766669226AE5C41A4703D86401973C19A999961C41E634190C2757518B670C19A999961C41E6341
82,2,Mu,2,,Mu-2,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E6341F7285CC9E0A56CC16766669226AE5C4190C2757518B670C16766669226AE5C4190C2757518B670C19A999961C41E6341F7285CC9E0A56CC19A999961C41E6341
83,2,Mu,3,,Mu-3,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E6341CECCCCA790DF67C16766669226AE5C41F7285CC9E0A56CC16766669226AE5C41F7285CC9E0A56CC19A999961C41E6341CECCCCA790DF67C19A999961C41E6341
84,2,Mu,4,,Mu-4,,,0103000020110F00000100000005000000A4703D86401963C16766669226AE5C41CECCCCA790DF67C16766669226AE5C41CECCCCA790DF67C19A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C16766669226AE5C41
85,2,Mu,5,,Mu-5,,,0103000020110F0000010000000500000090C2757518B670C16766669226AE5C4190C2757518B670C19A999961C41E5341A4703D86401973C19A999961C41E5341A4703D86401973C16766669226AE5C4190C2757518B670C16766669226AE5C41
86,2,Mu,6,,Mu-6,,,0103000020110F00000100000005000000F7285CC9E0A56CC16766669226AE5C41F7285CC9E0A56CC19A999961C41E534190C2757518B670C19A999961C41E534190C2757518B670C16766669226AE5C41F7285CC9E0A56CC16766669226AE5C41
87,2,Mu,7,,Mu-7,,,0103000020110F00000100000005000000CECCCCA790DF67C16766669226AE5C41CECCCCA790DF67C19A999961C41E5341F7285CC9E0A56CC19A999961C41E5341F7285CC9E0A56CC16766669226AE5C41CECCCCA790DF67C16766669226AE5C41
88,2,Mu,8,,Mu-8,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E5341CECCCCA790DF67C16766669226AE5C41A4703D86401963C16766669226AE5C41A4703D86401963C19A999961C41E5341CECCCCA790DF67C19A999961C41E5341
89,2,Mu,9,,Mu-9,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E534190C2757518B670C19A999961C41E4341A4703D86401973C19A999961C41E4341A4703D86401973C19A999961C41E534190C2757518B670C19A999961C41E5341
90,2,Mu,10,,Mu-10,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E5341F7285CC9E0A56CC19A999961C41E434190C2757518B670C19A999961C41E434190C2757518B670C19A999961C41E5341F7285CC9E0A56CC19A999961C41E5341
91,2,Mu,11,,Mu-11,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E5341CECCCCA790DF67C19A999961C41E4341F7285CC9E0A56CC19A999961C41E4341F7285CC9E0A56CC19A999961C41E5341CECCCCA790DF67C19A999961C41E5341
92,2,Mu,12,,Mu-12,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E4341CECCCCA790DF67C19A999961C41E5341A4703D86401963C19A999961C41E5341A4703D86401963C19A999961C41E4341CECCCCA790DF67C19A999961C41E4341
93,2,Mu,13,,Mu-13,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E434190C2757518B670C10000000000000000A4703D86401973C10000000000000000A4703D86401973C19A999961C41E434190C2757518B670C19A999961C41E4341
94,2,Mu,14,,Mu-14,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E4341F7285CC9E0A56CC1000000000000000090C2757518B670C1000000000000000090C2757518B670C19A999961C41E4341F7285CC9E0A56CC19A999961C41E4341
95,2,Mu,15,,Mu-15,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E4341CECCCCA790DF67C10000000000000000F7285CC9E0A56CC10000000000000000F7285CC9E0A56CC19A999961C41E4341CECCCCA790DF67C19A999961C41E4341
96,2,Mu,16,,Mu-16,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E4341A4703D86401963C19A999961C41E4341A4703D86401963C10000000000000000CECCCCA790DF67C10000000000000000CECCCCA790DF67C19A999961C41E4341
97,2,Lambda,1,,Lambda-1,,,0103000020110F00000100000005000000A4703D86401973C19A999961C41E43C1A4703D86401973C1000000000000000090C2757518B670C1000000000000000090C2757518B670C19A999961C41E43C1A4703D86401973C19A999961C41E43C1
98,2,Lambda,2,,Lambda-2,,,0103000020110F00000100000005000000F7285CC9E0A56CC10000000000000000F7285CC9E0A56CC19A999961C41E43C190C2757518B670C19A999961C41E43C190C2757518B670C10000000000000000F7285CC9E0A56CC10000000000000000
99,2,Lambda,3,,Lambda-3,,,0103000020110F00000100000005000000CECCCCA790DF67C10000000000000000CECCCCA790DF67C19A999961C41E43C1F7285CC9E0A56CC19A999961C41E43C1F7285CC9E0A56CC10000000000000000CECCCCA790DF67C10000000000000000
100,2,Lambda,4,,Lambda-4,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E43C1CECCCCA790DF67C19A999961C41E43C1CECCCCA790DF67C10000000000000000A4703D86401963C10000000000000000A4703D86401963C19A999961C41E43C1
101,2,Lambda,5,,Lambda-5,,,0103000020110F00000100000005000000A4703D86401973C19A999961C41E53C1A4703D86401973C19A999961C41E43C190C2757518B670C19A999961C41E43C190C2757518B670C19A999961C41E53C1A4703D86401973C19A999961C41E53C1
102,2,Lambda,6,,Lambda-6,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E43C1F7285CC9E0A56CC19A999961C41E53C190C2757518B670C19A999961C41E53C190C2757518B670C19A999961C41E43C1F7285CC9E0A56CC19A999961C41E43C1
103,2,Lambda,7,,Lambda-7,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E43C1CECCCCA790DF67C19A999961C41E53C1F7285CC9E0A56CC19A999961C41E53C1F7285CC9E0A56CC19A999961C41E43C1CECCCCA790DF67C19A999961C41E43C1
104,2,Lambda,8,,Lambda-8,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E53C1CECCCCA790DF67C19A999961C41E43C1A4703D86401963C19A999961C41E43C1A4703D86401963C19A999961C41E53C1CECCCCA790DF67C19A999961C41E53C1
105,2,Lambda,9,,Lambda-9,,,0103000020110F00000100000005000000A4703D86401973C16766669226AE5CC1A4703D86401973C19A999961C41E53C190C2757518B670C19A999961C41E53C190C2757518B670C16766669226AE5CC1A4703D86401973C16766669226AE5CC1
106,2,Lambda,10,,Lambda-10,,,0103000020110F00000100000005000000F7285CC9E0A56CC19A999961C41E53C1F7285CC9E0A56CC16766669226AE5CC190C2757518B670C16766669226AE5CC190C2757518B670C19A999961C41E53C1F7285CC9E0A56CC19A999961C41E53C1
107,2,Lambda,11,,Lambda-11,,,0103000020110F00000100000005000000CECCCCA790DF67C19A999961C41E53C1CECCCCA790DF67C16766669226AE5CC1F7285CC9E0A56CC16766669226AE5CC1F7285CC9E0A56CC19A999961C41E53C1CECCCCA790DF67C19A999961C41E53C1
108,2,Lambda,12,,Lambda-12,,,0103000020110F00000100000005000000CECCCCA790DF67C16766669226AE5CC1CECCCCA790DF67C19A999961C41E53C1A4703D86401963C19A999961C41E53C1A4703D86401963C16766669226AE5CC1CECCCCA790DF67C16766669226AE5CC1
109,2,Lambda,13,,Lambda-13,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E63C1A4703D86401973C19A999961C41E63C1A4703D86401973C16766669226AE5CC190C2757518B670C16766669226AE5CC190C2757518B670C19A999961C41E63C1
110,2,Lambda,14,,Lambda-14,,,0103000020110F00000100000005000000F7285CC9E0A56CC16766669226AE5CC1F7285CC9E0A56CC19A999961C41E63C190C2757518B670C19A999961C41E63C190C2757518B670C16766669226AE5CC1F7285CC9E0A56CC16766669226AE5CC1
111,2,Lambda,15,,Lambda-15,,,0103000020110F00000100000005000000CECCCCA790DF67C16766669226AE5CC1CECCCCA790DF67C19A999961C41E63C1F7285CC9E0A56CC19A999961C41E63C1F7285CC9E0A56CC16766669226AE5CC1CECCCCA790DF67C16766669226AE5CC1
112,2,Lambda,16,,Lambda-16,,,0103000020110F00000100000005000000CECCCCA790DF67C16766669226AE5CC1A4703D86401963C16766669226AE5CC1A4703D86401963C19A999961C41E63C1CECCCCA790DF67C19A999961C41E63C1CECCCCA790DF67C16766669226AE5CC1
113,2,Kappa,1,,Kappa-1,,,0103000020110F0000010000000500000090C2757518B670C19A999961C41E63C190C2757518B670C10200007A75E667C1A4703D86401973C10200007A75E667C1A4703D86401973C19A999961C41E63C190C2757518B670C19A999961C41E63C1
